system,chance,Tiny,Medium,Full
clean_action,0.2,0.32133333333333336,0.5406666666666666,0.6126666666666667
zero_action,0.2,0.2,0.2,0.2
neg_action,0.2,0.21333333333333335,0.2,0.198
shuffled_action,0.2,0.202,0.19733333333333333,0.20266666666666666
random_action,0.2,0.20133333333333334,0.20133333333333334,0.21266666666666667
pred_shuffled,0.2,0.202,0.18666666666666668,0.19733333333333333
zero_delta,0.2,0.2,0.2,0.2
