system,chance,Tiny,Medium,Full
clean_action,0.2,0.336,0.538,0.604
zero_action,0.2,0.2,0.2,0.2
neg_action,0.2,0.20866666666666667,0.19333333333333333,0.19066666666666668
shuffled_action,0.2,0.206,0.208,0.20333333333333334
random_action,0.2,0.204,0.216,0.21
pred_shuffled,0.2,0.202,0.19733333333333333,0.19933333333333333
zero_delta,0.2,0.2,0.2,0.2
