seed,current_rgb_same_shape,current_rgb_max_abs_diff,current_rgb_mean_abs_diff,current_rgb_allclose,future_rgb_same_shape,future_rgb_max_abs_diff,future_rgb_mean_abs_diff,future_rgb_allclose,state_xy_same_shape,state_xy_max_abs_diff,state_xy_mean_abs_diff,state_xy_allclose,future_xy_same_shape,future_xy_max_abs_diff,future_xy_mean_abs_diff,future_xy_allclose,action_same_shape,action_max_abs_diff,action_mean_abs_diff,action_allclose,action_id_same_shape,action_id_max_abs_diff,action_id_mean_abs_diff,action_id_allclose,blocked_mask_same_shape,blocked_mask_max_abs_diff,blocked_mask_mean_abs_diff,blocked_mask_allclose
20,True,0.0,0.0,True,True,164.0,1.6022858796296297e-06,False,True,0.0,0.0,True,True,8.344650268554688e-07,3.1967530794645427e-07,False,True,0.0,0.0,True,True,0.0,0.0,True,True,0.0,0.0,True
21,True,0.0,0.0,True,True,164.0,2.701822916666667e-06,False,True,0.0,0.0,True,True,8.344650268554688e-07,3.1975571691873484e-07,False,True,0.0,0.0,True,True,0.0,0.0,True,True,0.0,0.0,True
22,True,0.0,0.0,True,True,164.0,2.853732638888889e-06,False,True,0.0,0.0,True,True,8.344650268554688e-07,3.197364020138593e-07,False,True,0.0,0.0,True,True,0.0,0.0,True,True,0.0,0.0,True
