blocked,horizon,model_label,top1_mean,top1_std,same_action_mean,same_action_std,same_state_mean,same_state_std,n
1,36,Tiny,0.9409313333333333,0.006459235739105158,0.9588973333333334,0.0051439538618978506,0.9960793333333333,0.0009072030276257681,3
1,36,Small,0.9397343333333333,0.01257608036445912,0.9606056666666666,0.0114225791454177,0.9960876666666666,0.0027485036535055017,3
1,36,Medium,0.9714763333333334,0.004584316124934426,0.9838866666666667,0.003747644904914742,0.996681,0.0018144886331966964,3
1,36,Full,0.9656926666666666,0.002724113127851545,0.9768506666666666,0.002668633795284281,0.9977336666666666,0.002509329060393147,3
2,36,Tiny,0.9958733333333334,0.006081798610060474,0.9979423333333334,0.0035639832117075666,0.9995826666666666,0.00036153330874670375,3
2,36,Small,0.9958516666666667,0.0030865322504930754,0.9983503333333333,0.002334654649693079,0.9991639999999999,0.0003638419986752696,3
2,36,Medium,0.9946053333333333,0.003930308427252678,0.997097,0.002318051552489736,0.9987466666666668,1.715614564324565e-05,3
2,36,Full,0.9983393333333334,0.0014383477789927542,0.9987546666666667,0.001078608980740152,1.0,0.0,3
3,36,Tiny,0.9149716666666666,0.010216709075496532,0.9440703333333333,0.002166444398855734,0.994566,0.0012210049139950868,3
3,36,Small,0.9107026666666665,0.012513315880826029,0.9430246666666666,0.008322686845804821,0.9915933333333333,0.0027575977468321123,3
3,36,Medium,0.927114,0.0033349868065705533,0.9572526666666666,0.0031251613291690006,0.9893443333333334,0.0030989214790526336,3
3,36,Full,0.8688206666666667,0.007961133985390086,0.9044460000000001,0.006951379215666524,0.9838420000000001,0.002847989992959974,3
4,36,Tiny,0.5888656666666666,0.008998876059449554,0.745536,0.010329742542774257,0.9494693333333334,0.0038483381261699657,3
4,36,Small,0.6022166666666666,0.02469972310236151,0.7621383333333333,0.015831513898971663,0.9498646666666667,0.005937256128325031,3
4,36,Medium,0.5791233333333333,0.012047567071128203,0.7613593333333334,0.004109481759703254,0.9115553333333333,0.012546894529457545,3
4,36,Full,0.543002,0.011864137431773126,0.746339,0.0037603158112052802,0.8908113333333333,0.009326170721862948,3
1,72,Tiny,0.8805826666666666,0.0024451025200047188,0.9225593333333334,0.004713619027173637,0.9766536666666666,0.0019523207557502586,3
1,72,Small,0.9058376666666667,0.014925044466712093,0.9384893333333334,0.012224775103589172,0.9851579999999999,0.006992653216054721,3
1,72,Medium,0.9273056666666667,0.004339029422962468,0.9601526666666667,0.00589719291979952,0.9805929999999999,0.0036377310235914916,3
1,72,Full,0.8793139999999999,0.007550385619291261,0.9347506666666666,0.00879950080023487,0.963866,0.0038559113060338927,3
2,72,Tiny,0.9737096666666667,0.0047636941897369455,0.9839533333333333,0.005197582354646576,0.9933066666666667,0.0010459681320830621,3
2,72,Small,0.9343326666666667,0.009774383936255704,0.9558909999999999,0.004379025348179663,0.9924586666666667,0.0028341083841895687,3
2,72,Medium,0.9703383333333333,0.004069950163495039,0.984968,0.0011278461774550303,0.993705,0.003216022854396346,3
2,72,Full,0.9774466666666667,0.004313922383786379,0.988511,0.004048514665899092,0.9899816666666666,0.000987522320422849,3
3,72,Tiny,0.8207296666666667,0.013707017995659484,0.865522,0.007569000198176751,0.990395,0.0034724583510821446,3
3,72,Small,0.7365780000000001,0.008564980268511982,0.7929796666666666,0.013718089310590358,0.9884833333333334,0.001864532738605902,3
3,72,Medium,0.83906,0.013673010970521444,0.886625,0.00812626064066372,0.9837243333333333,0.006109140719719387,3
3,72,Full,0.8131203333333333,0.009621590426396933,0.8458733333333334,0.006107370738160018,0.9792696666666667,0.001748642139871185,3
4,72,Tiny,0.5888656666666666,0.008998876059449554,0.745536,0.010329742542774257,0.9494693333333334,0.0038483381261699657,3
4,72,Small,0.6022166666666666,0.02469972310236151,0.7621383333333333,0.015831513898971663,0.9498646666666667,0.005937256128325031,3
4,72,Medium,0.5791233333333333,0.012047567071128203,0.7613593333333334,0.004109481759703254,0.9115553333333333,0.012546894529457545,3
4,72,Full,0.543002,0.011864137431773126,0.746339,0.0037603158112052802,0.8908113333333333,0.009326170721862948,3
