seed,z_current_same_shape,z_current_max_abs_diff,z_current_allclose,z_future_same_shape,z_future_max_abs_diff,z_future_allclose,action_same_shape,action_max_abs_diff,action_allclose,action_id_same_shape,action_id_max_abs_diff,action_id_allclose,group_id_same_shape,group_id_max_abs_diff,group_id_allclose,state_xy_same_shape,state_xy_max_abs_diff,state_xy_allclose,future_xy_same_shape,future_xy_max_abs_diff,future_xy_allclose,blocked_mask_same_shape,blocked_mask_max_abs_diff,blocked_mask_allclose,horizon_h36,horizon_h72,velocity_h36,velocity_h72,num_blocked_directions_h36,num_blocked_directions_h72,dataset_version_h36,dataset_version_h72
20,True,0.0,True,True,0.36669921875,False,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,8.344650268554688e-07,False,True,0.0,True,36,72,1.2,1.2,4,4,pybullet_obstacle_exact_intervention_v1_rgb,pybullet_obstacle_exact_intervention_v1_rgb
21,True,0.0,True,True,0.251953125,False,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,8.344650268554688e-07,False,True,0.0,True,36,72,1.2,1.2,4,4,pybullet_obstacle_exact_intervention_v1_rgb,pybullet_obstacle_exact_intervention_v1_rgb
22,True,0.0,True,True,0.353515625,False,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,8.344650268554688e-07,False,True,0.0,True,36,72,1.2,1.2,4,4,pybullet_obstacle_exact_intervention_v1_rgb,pybullet_obstacle_exact_intervention_v1_rgb
