seed,split,method,error,identity_error,global_error,improvement_vs_identity,improvement_vs_global,ratio_vs_identity,alpha_mean,alpha_std,pearson_oracle,spearman_oracle,auc_top25_oracle,ridge_alpha
0,val,compact_hgb_raw,1.428849697113037,1.4321844577789307,1.4227076768875122,0.0033347606658935547,-0.006142020225524902,0.9976715564480673,0.589817225933075,0.19288021326065063,0.09991358896022746,0.10515477901398977,0.5702587659975895,
0,val,compact_hgb_affine_val_calibrated,1.422654390335083,1.4321844577789307,1.4227076768875122,0.009530067443847656,5.328655242919922e-05,0.9933457821078249,0.36257442831993103,0.027003232389688492,0.09991358368202687,0.10515488799653484,0.5702588109641639,
0,test,compact_hgb_raw,1.6051760911941528,1.6069767475128174,1.5988246202468872,0.0018006563186645508,-0.006351470947265625,0.9988794758098077,0.6007055640220642,0.1825082153081894,0.1370101555219478,0.15937510119335127,0.5972635858553289,
0,test,compact_hgb_affine_val_calibrated,1.5987308025360107,1.6069767475128174,1.5988246202468872,0.00824594497680664,9.381771087646484e-05,0.9948686594317129,0.36409875750541687,0.025551149621605873,0.13701015289887108,0.15937511762479487,0.5972635971418931,
0,val,rich_ridge_raw,1.4275729656219482,1.4321844577789307,1.4227076768875122,0.004611492156982422,-0.004865288734436035,0.996780099007544,0.5328100919723511,0.17920882999897003,0.03002301820409025,0.024959071050720344,0.5197228341298638,10000.0
0,val,rich_ridge_affine_val_calibrated,1.422707200050354,1.4321844577789307,1.4227076768875122,0.00947725772857666,4.76837158203125e-07,0.9933826556508829,0.3653281033039093,0.0017920881509780884,0.030022993428748094,0.02495898631735307,0.5197227217134279,10000.0
0,test,rich_ridge_raw,1.6081734895706177,1.6069767475128174,1.5988246202468872,-0.001196742057800293,-0.009348869323730469,1.0007447164743688,0.6294646859169006,0.20511937141418457,0.08703620016131924,0.11156569466689951,0.5636506566240871,10000.0
0,test,rich_ridge_affine_val_calibrated,1.5988402366638184,1.6069767475128174,1.5988246202468872,0.008136510848999023,-1.5616416931152344e-05,0.9949367588164594,0.3662946820259094,0.0020511928014457226,0.08703620038663948,0.11156576296187982,0.5636505919828559,10000.0
0,val,global_alpha_val,1.4227076768875122,1.4321844577789307,1.4227076768875122,0.009476780891418457,0.0,0.9933829885948383,0.36,0.0,,,,
0,val,oracle_per_sample_alpha,1.399816870689392,1.4321844577789307,1.4227076768875122,0.032367587089538574,0.022890806198120117,0.9773998475449628,0.28240397572517395,0.35146254301071167,1.0,1.0,1.0,
0,test,global_alpha_val,1.5988246202468872,1.6069767475128174,1.5988246202468872,0.008152127265930176,0.0,0.9949270409304009,0.36,0.0,,,,
0,test,oracle_per_sample_alpha,1.581164836883545,1.6069767475128174,1.5988246202468872,0.02581191062927246,0.017659783363342285,0.9839375954448485,0.27553728222846985,0.32812729477882385,1.0,1.0,1.0,
1,val,compact_hgb_raw,1.4276032447814941,1.4321844577789307,1.4231507778167725,0.0045812129974365234,-0.00445246696472168,0.9968012409487105,0.585425853729248,0.18814197182655334,0.11813149410842783,0.10723497868706677,0.5798366912947095,
1,val,compact_hgb_affine_val_calibrated,1.4230233430862427,1.4321844577789307,1.4231507778167725,0.009161114692687988,0.00012743473052978516,0.9936033974932983,0.37464794516563416,0.043272651731967926,0.11813149389620659,0.10723489007732183,0.5798366463281353,
1,test,compact_hgb_raw,1.6047695875167847,1.6069767475128174,1.59995436668396,0.002207159996032715,-0.004815220832824707,0.9986265140429388,0.5893852114677429,0.1756773442029953,0.1427606928073515,0.15660393348337678,0.6011486685214595,
1,test,compact_hgb_affine_val_calibrated,1.5997897386550903,1.6069767475128174,1.59995436668396,0.007187008857727051,0.0001646280288696289,0.9955276211252897,0.3755585849285126,0.04040578752756119,0.1427606908822943,0.1566039144189058,0.6011486562088441,
1,val,rich_ridge_raw,1.425764799118042,1.4321844577789307,1.4231507778167725,0.006419658660888672,-0.0026140213012695312,0.9955175755287524,0.5110495686531067,0.17462299764156342,0.10750109075465836,0.11021428087841617,0.5691356358707537,10000.0
1,val,rich_ridge_affine_val_calibrated,1.423026204109192,1.4321844577789307,1.4231507778167725,0.00915825366973877,0.0001245737075805664,0.9936053951570305,0.36776238679885864,0.043655749410390854,0.10750109056967251,0.11021437253752062,0.5691356808373279,10000.0
1,test,rich_ridge_raw,1.6046605110168457,1.6069767475128174,1.59995436668396,0.0023162364959716797,-0.004706144332885742,0.9985586372052012,0.522150456905365,0.19785676896572113,0.10872541552679318,0.12973279873428709,0.5798220047267104,10000.0
1,test,rich_ridge_affine_val_calibrated,1.5999902486801147,1.6069767475128174,1.59995436668396,0.006986498832702637,-3.5881996154785156e-05,0.9956523958149887,0.3705376088619232,0.04946419224143028,0.1087254160708189,0.12973280786792368,0.5798219985704027,10000.0
1,val,global_alpha_val,1.4231507778167725,1.4321844577789307,1.4231507778167725,0.009033679962158203,0.0,0.9936923767653729,0.38,0.0,,,,
1,val,oracle_per_sample_alpha,1.402066707611084,1.4321844577789307,1.4231507778167725,0.03011775016784668,0.021084070205688477,0.9789707603624228,0.2821408212184906,0.34844234585762024,1.0,1.0,1.0,
