lambda,variant,model,top1,checkpoint_mb,cost_proxy,utility,same_action_diff_state_win,same_state_diff_action_win
0.02,"3-block, H=72",Tiny,0.815981,0.3932209014892578,0.01830428199680138,0.815614914360064,0.868039,0.992736
0.02,"3-block, H=72",Small,0.731235,1.1517658233642578,0.05361425688535897,0.7301627148622928,0.786925,0.991525
0.02,"3-block, H=72",Medium,0.842615,3.986543655395508,0.1855720766229722,0.8389035584675406,0.887409,0.979419
0.02,"3-block, H=72",Full,0.818402,21.48245429992676,1.0,0.798402,0.857143,0.976998
0.05,"2-block, H=72",Tiny,0.953125,0.3932209014892578,0.01830428199680138,0.9522097859001599,0.96875,0.986779
0.05,"2-block, H=72",Small,0.929087,1.1517658233642578,0.05361425688535897,0.926406287155732,0.953125,0.985577
0.05,"2-block, H=72",Medium,0.955529,3.986543655395508,0.1855720766229722,0.9462503961688513,0.97476,0.986779
0.05,"2-block, H=72",Full,0.97476,21.48245429992676,1.0,0.9247599999999999,0.986779,0.986779
0.05,"2-block, V=1.8",Tiny,0.994924,0.3932209014892578,0.01830428199680138,0.99400878590016,1.0,0.997462
0.05,"2-block, V=1.8",Small,0.98731,1.1517658233642578,0.05361425688535897,0.9846292871557321,0.992386,0.998731
0.05,"2-block, V=1.8",Medium,0.979695,3.986543655395508,0.1855720766229722,0.9704163961688513,0.988579,0.997462
0.05,"2-block, V=1.8",Full,0.994924,21.48245429992676,1.0,0.944924,0.998731,0.998731
0.05,"3-block, H=36",Tiny,0.894866,0.3932209014892578,0.01830428199680138,0.89395078590016,0.933985,0.991443
0.05,"3-block, H=36",Small,0.897311,1.1517658233642578,0.05361425688535897,0.894630287155732,0.93643,0.99511
0.05,"3-block, H=36",Medium,0.863081,3.986543655395508,0.1855720766229722,0.8538023961688513,0.9022,0.984108
0.05,"3-block, H=36",Full,0.828851,21.48245429992676,1.0,0.778851,0.863081,0.979218
0.05,"3-block, H=48",Tiny,0.868159,0.3932209014892578,0.01830428199680138,0.8672437859001599,0.909204,0.992537
0.05,"3-block, H=48",Small,0.853234,1.1517658233642578,0.05361425688535897,0.8505532871557321,0.896766,0.997512
0.05,"3-block, H=48",Medium,0.883085,3.986543655395508,0.1855720766229722,0.8738063961688514,0.916667,0.995025
0.05,"3-block, H=48",Full,0.840796,21.48245429992676,1.0,0.7907959999999999,0.879353,0.992537
0.05,"3-block, H=72",Tiny,0.815981,0.3932209014892578,0.01830428199680138,0.8150657859001599,0.868039,0.992736
0.05,"3-block, H=72",Small,0.731235,1.1517658233642578,0.05361425688535897,0.728554287155732,0.786925,0.991525
0.05,"3-block, H=72",Medium,0.842615,3.986543655395508,0.1855720766229722,0.8333363961688514,0.887409,0.979419
0.05,"3-block, H=72",Full,0.818402,21.48245429992676,1.0,0.7684019999999999,0.857143,0.976998
0.1,"2-block, H=72",Tiny,0.953125,0.3932209014892578,0.01830428199680138,0.9512945718003198,0.96875,0.986779
0.1,"2-block, H=72",Small,0.929087,1.1517658233642578,0.05361425688535897,0.9237255743114641,0.953125,0.985577
0.1,"2-block, H=72",Medium,0.955529,3.986543655395508,0.1855720766229722,0.9369717923377028,0.97476,0.986779
0.1,"2-block, H=72",Full,0.97476,21.48245429992676,1.0,0.87476,0.986779,0.986779
0.1,"2-block, V=1.8",Tiny,0.994924,0.3932209014892578,0.01830428199680138,0.9930935718003199,1.0,0.997462
0.1,"2-block, V=1.8",Small,0.98731,1.1517658233642578,0.05361425688535897,0.9819485743114641,0.992386,0.998731
0.1,"2-block, V=1.8",Medium,0.979695,3.986543655395508,0.1855720766229722,0.9611377923377028,0.988579,0.997462
0.1,"2-block, V=1.8",Full,0.994924,21.48245429992676,1.0,0.894924,0.998731,0.998731
0.1,"3-block, H=36",Tiny,0.894866,0.3932209014892578,0.01830428199680138,0.8930355718003199,0.933985,0.991443
0.1,"3-block, H=36",Small,0.897311,1.1517658233642578,0.05361425688535897,0.891949574311464,0.93643,0.99511
0.1,"3-block, H=36",Medium,0.863081,3.986543655395508,0.1855720766229722,0.8445237923377028,0.9022,0.984108
0.1,"3-block, H=36",Full,0.828851,21.48245429992676,1.0,0.728851,0.863081,0.979218
0.1,"3-block, H=48",Tiny,0.868159,0.3932209014892578,0.01830428199680138,0.8663285718003199,0.909204,0.992537
0.1,"3-block, H=48",Small,0.853234,1.1517658233642578,0.05361425688535897,0.8478725743114641,0.896766,0.997512
0.1,"3-block, H=48",Medium,0.883085,3.986543655395508,0.1855720766229722,0.8645277923377028,0.916667,0.995025
0.1,"3-block, H=48",Full,0.840796,21.48245429992676,1.0,0.740796,0.879353,0.992537
0.1,"3-block, H=72",Tiny,0.815981,0.3932209014892578,0.01830428199680138,0.8141505718003198,0.868039,0.992736
0.1,"3-block, H=72",Small,0.731235,1.1517658233642578,0.05361425688535897,0.725873574311464,0.786925,0.991525
0.1,"3-block, H=72",Medium,0.842615,3.986543655395508,0.1855720766229722,0.8240577923377028,0.887409,0.979419
0.1,"3-block, H=72",Full,0.818402,21.48245429992676,1.0,0.718402,0.857143,0.976998
0.2,"2-block, H=72",Tiny,0.953125,0.3932209014892578,0.01830428199680138,0.9494641436006397,0.96875,0.986779
0.2,"2-block, H=72",Small,0.929087,1.1517658233642578,0.05361425688535897,0.9183641486229281,0.953125,0.985577
0.2,"2-block, H=72",Medium,0.955529,3.986543655395508,0.1855720766229722,0.9184145846754055,0.97476,0.986779
0.2,"2-block, H=72",Full,0.97476,21.48245429992676,1.0,0.7747599999999999,0.986779,0.986779
0.2,"2-block, V=1.8",Tiny,0.994924,0.3932209014892578,0.01830428199680138,0.9912631436006397,1.0,0.997462
0.2,"2-block, V=1.8",Small,0.98731,1.1517658233642578,0.05361425688535897,0.9765871486229283,0.992386,0.998731
