lambda,cheap,full,oracle,conf,context_cls,knn_context,rh_context,knn_context_latent,rh_context_latent,best_fixed
0.02,0.7312348668280871,0.7984019370460048,0.892590799031477,0.7759322033898306,0.7699273607748185,0.8065375302663439,0.8018401937046007,0.8057627118644068,0.7963680387409202,knn_context
0.05,0.7312348668280871,0.7684019370460048,0.8876513317191284,0.7703389830508474,0.7662227602905569,0.7796610169491526,0.7878934624697336,0.7976997578692494,0.7938256658595643,knn_context_latent
0.1,0.7312348668280871,0.7184019370460049,0.8794188861985474,0.7561743341404358,0.7547215496368039,0.7627118644067796,0.7602905569007264,0.7803874092009685,0.78135593220339,rh_context_latent
0.2,0.7312348668280871,0.6184019370460048,0.8629539951573849,0.7312348668280871,0.7443099273607747,0.7288135593220338,0.7278450363196126,0.7457627118644068,0.7341404358353512,knn_context_latent
0.3,0.7312348668280871,0.5184019370460049,0.8464891041162228,0.7312348668280871,0.7278450363196126,0.7249394673123486,0.712590799031477,0.7372881355932204,0.7329297820823244,knn_context_latent
