cheap_seed,lambda,heldout,variant_label,method,utility,route_rate,n
0,0.02,block3_h48_seed10,"3-block, H=48",confidence,0.8629353233830845,0.13681592039800994,402
0,0.02,block3_h48_seed10,"3-block, H=48",context_cls,0.8618905472636816,0.06467661691542288,402
0,0.02,block3_h48_seed10,"3-block, H=48",knn_context,0.8662189054726369,0.09701492537313433,402
0,0.02,block3_h48_seed10,"3-block, H=48",rh_context,0.8709452736318408,0.10945273631840796,402
0,0.02,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8659203980099504,0.236318407960199,402
0,0.02,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8686069651741295,0.2263681592039801,402
0,0.05,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.0,402
0,0.05,block3_h48_seed10,"3-block, H=48",full,0.7907960199004974,1.0,402
0,0.05,block3_h48_seed10,"3-block, H=48",oracle,0.9123134328358209,0.06218905472636816,402
0,0.05,block3_h48_seed10,"3-block, H=48",confidence,0.8681592039800995,0.09950248756218906,402
0,0.05,block3_h48_seed10,"3-block, H=48",context_cls,0.8599502487562188,0.06467661691542288,402
0,0.05,block3_h48_seed10,"3-block, H=48",knn_context,0.8633084577114428,0.09701492537313433,402
0,0.05,block3_h48_seed10,"3-block, H=48",rh_context,0.8664179104477612,0.0845771144278607,402
0,0.05,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8667910447761193,0.12686567164179105,402
0,0.05,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8635572139303483,0.1417910447761194,402
0,0.1,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.0,402
0,0.1,block3_h48_seed10,"3-block, H=48",full,0.7407960199004977,1.0,402
0,0.1,block3_h48_seed10,"3-block, H=48",oracle,0.9092039800995025,0.06218905472636816,402
0,0.1,block3_h48_seed10,"3-block, H=48",confidence,0.8619402985074627,0.08706467661691543,402
0,0.1,block3_h48_seed10,"3-block, H=48",context_cls,0.8567164179104477,0.06467661691542288,402
