model,mean_regret_reduction,min_regret_reduction,max_regret_reduction,mean_acc_gain,stable_blocks,n_blocks
Full,0.07284745798989353,0.0661782224444632,0.0783475822148223,0.6396276595744681,3,3
Medium,0.06545556184311054,0.0540545581194458,0.0722934124951666,0.5766152107020901,3,3
Tiny,0.07340201902199027,0.0623451748853007,0.0814594888749221,0.6254837189012721,3,3
