model,true_future_latent_probe_error,predicted_latent_with_true_probe_error,predicted_latent_with_model_specific_probe_error,calibration_gap,error_ratio_true_probe_over_specific,specific_probe_over_true_latent_probe
Tiny,0.0360613204538822,2.8588147163391118,0.0308154169470071,2.8279992993921046,92.77222246433922,0.8545282468626202
Medium,0.0360613204538822,2.552870988845825,0.0270678158849477,2.5258031729608774,94.31388922168139,0.7506052342027787
Full,0.0360613204538822,2.0058605670928955,0.0258081201463937,1.9800524469465017,77.72207180200937,0.7156731872699719
