lambda,heldout,variant_label,cheap_util,full_util,oracle_util,oracle_route,conf_util,conf_route,context_cls_util,context_cls_route,knn_signal_util,knn_signal_route,knn_signal_k,knn_signal_rule,knn_context_util,knn_context_route,knn_context_k,knn_context_rule,knn_geometry_util,knn_geometry_route,knn_geometry_k,knn_geometry_rule,best_non_oracle,best_non_oracle_util,knn_context_minus_context_cls,knn_geometry_minus_context_cls
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,0.8561858190709049,0.22249388753056235,15,gain_threshold,0.8561858190709049,0.22249388753056235,15,gain_threshold,0.8389731051344743,0.2273838630806846,15,gain_threshold,cheap,0.8973105134474327,-0.030757946210268727,-0.04797066014669926
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,0.8495110024449878,0.22249388753056235,15,gain_threshold,0.8495110024449878,0.22249388753056235,15,gain_threshold,0.8321515892420538,0.2273838630806846,15,gain_threshold,cheap,0.8973105134474327,-0.036552567237163935,-0.05391198044009793
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,0.8679706601466992,0.1466992665036675,15,gain_threshold,0.8679706601466992,0.1466992665036675,15,gain_threshold,0.8789731051344744,0.061124694376528114,15,tuned_threshold,cheap,0.8973105134474327,-0.01662591687041559,-0.005623471882640452
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,0.8801955990220048,0.08557457212713937,15,tuned_threshold,0.8801955990220048,0.08557457212713937,15,tuned_threshold,0.8728606356968215,0.061124694376528114,15,tuned_threshold,cheap,0.8973105134474327,-0.0034229828850855792,-0.010757946210268932
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,0.8872860635696821,0.017114914425427872,15,gain_threshold,0.8872860635696821,0.017114914425427872,15,gain_threshold,0.8926650366748167,0.007334963325183374,15,gain_threshold,cheap,0.8973105134474327,0.005623471882640452,0.011002444987775029
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,0.8973105134474327,0.0,15,gain_threshold,0.8973105134474327,0.0,15,gain_threshold,0.8960880195599022,0.0024449877750611247,15,tuned_threshold,cheap,0.8973105134474327,0.013447432762836109,0.012224938875305624
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,0.8662189054726369,0.09701492537313433,15,gain_threshold,0.8662189054726369,0.09701492537313433,15,gain_threshold,0.8546766169154228,0.05223880597014925,15,gain_threshold,knn_signal,0.8662189054726369,0.004328358208955274,-0.00721393034825879
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,0.8633084577114428,0.09701492537313433,15,gain_threshold,0.8633084577114428,0.09701492537313433,15,gain_threshold,0.8478855721393035,0.007462686567164179,15,tuned_threshold,conf,0.8681592039800995,0.0033582089552239847,-0.012064676616915349
0.1,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7407960199004975,0.9092039800995025,0.06218905472636816,0.8619402985074627,0.08706467661691543,0.8567164179104477,0.06467661691542288,0.8512437810945274,0.04477611940298507,15,gain_threshold,0.8512437810945274,0.04477611940298507,15,gain_threshold,0.8504975124378109,0.0024875621890547263,15,tuned_threshold,conf,0.8619402985074627,-0.005472636815920362,-0.006218905472636815
0.2,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.6407960199004974,0.9029850746268657,0.06218905472636816,0.8492537313432836,0.04477611940298507,0.8502487562189055,0.06467661691542288,0.854228855721393,0.007462686567164179,15,tuned_threshold,0.854228855721393,0.007462686567164179,15,tuned_threshold,0.8502487562189055,0.0024875621890547263,15,tuned_threshold,knn_signal,0.854228855721393,0.003980099502487455,0.0
