lambda,knn_mean,knn_std,rh_mean,rh_std
0.02,0.002518159806295365,0.006823105355529617,-0.008539144471347923,0.0028441174481661745
0.05,0.008353510895883801,0.009746326664686967,-0.001815980629539878,0.01006809825002026
0.1,0.010573042776432636,0.009704379777075483,0.005246166263115508,0.01663904008255588
0.2,0.004035512510088786,0.013078049459582996,0.0017756255044390674,0.007828478226299984
0.3,0.0008878127522194967,0.012741998948743179,0.009120258272800608,0.010330596746601525
