horizon,blocked,Tiny_mean,Tiny_std,Small_mean,Small_std,Medium_mean,Medium_std,Full_mean,Full_std,best,range,medium_minus_full
36,1,0.9409313333333332,0.0064592357391051,0.9397343333333332,0.0125760803644591,0.9714763333333334,0.0045843161249344,0.9656926666666666,0.0027241131278515,Medium,0.03174200000000016,0.0057836666666667425
36,2,0.9958733333333334,0.0060817986100604,0.9958516666666668,0.003086532250493,0.9946053333333332,0.0039303084272526,0.9983393333333334,0.0014383477789927,Full,0.003734000000000126,-0.003734000000000126
36,3,0.9149716666666666,0.0102167090754965,0.9107026666666664,0.012513315880826,0.927114,0.0033349868065705,0.8688206666666667,0.00796113398539,Medium,0.05829333333333331,0.05829333333333331
36,4,0.5888656666666666,0.0089988760594495,0.6022166666666666,0.0246997231023615,0.5791233333333333,0.0120475670711282,0.543002,0.0118641374317731,Small,0.05921466666666664,0.03612133333333334
72,1,0.8805826666666666,0.0024451025200047,0.9058376666666668,0.014925044466712,0.9273056666666668,0.0043390294229624,0.8793139999999999,0.0075503856192912,Medium,0.04799166666666688,0.04799166666666688
72,2,0.9737096666666668,0.0047636941897369,0.9343326666666668,0.0097743839362557,0.9703383333333332,0.004069950163495,0.9774466666666668,0.0043139223837863,Full,0.043113999999999986,-0.007108333333333605
72,3,0.8207296666666667,0.0137070179956594,0.7365780000000001,0.0085649802685119,0.83906,0.0136730109705214,0.8131203333333333,0.0096215904263969,Medium,0.10248199999999996,0.025939666666666694
72,4,0.5888656666666666,0.0089988760594495,0.6022166666666666,0.0246997231023615,0.5791233333333333,0.0120475670711282,0.543002,0.0118641374317731,Small,0.05921466666666664,0.03612133333333334
