blocked,horizon,model_label,top1_mean,top1_std,same_action_mean,same_action_std,same_state_mean,same_state_std,n
1,72,Tiny,0.8805826666666666,0.0024451025200047,0.9225593333333334,0.0047136190271736,0.9766536666666666,0.0019523207557502,3
1,72,Small,0.9058376666666668,0.014925044466712,0.9384893333333334,0.0122247751035891,0.985158,0.0069926532160547,3
1,72,Medium,0.9273056666666668,0.0043390294229624,0.9601526666666668,0.0058971929197995,0.980593,0.0036377310235914,3
1,72,Full,0.8793139999999999,0.0075503856192912,0.9347506666666666,0.0087995008002348,0.963866,0.0038559113060338,3
2,72,Tiny,0.9737096666666668,0.0047636941897369,0.9839533333333332,0.0051975823546465,0.9933066666666668,0.001045968132083,3
2,72,Small,0.9343326666666668,0.0097743839362557,0.955891,0.0043790253481796,0.9924586666666668,0.0028341083841895,3
2,72,Medium,0.9703383333333332,0.004069950163495,0.984968,0.001127846177455,0.993705,0.0032160228543963,3
2,72,Full,0.9774466666666668,0.0043139223837863,0.988511,0.004048514665899,0.9899816666666666,0.0009875223204228,3
3,72,Tiny,0.8207296666666667,0.0137070179956594,0.865522,0.0075690001981767,0.990395,0.0034724583510821,3
3,72,Small,0.7365780000000001,0.0085649802685119,0.7929796666666666,0.0137180893105903,0.9884833333333334,0.0018645327386059,3
3,72,Medium,0.83906,0.0136730109705214,0.886625,0.0081262606406637,0.9837243333333332,0.0061091407197193,3
3,72,Full,0.8131203333333333,0.0096215904263969,0.8458733333333334,0.00610737073816,0.9792696666666668,0.0017486421398711,3
4,72,Tiny,0.5888656666666666,0.0089988760594495,0.745536,0.0103297425427742,0.9494693333333334,0.0038483381261699,3
4,72,Small,0.6022166666666666,0.0246997231023615,0.7621383333333333,0.0158315138989716,0.9498646666666668,0.005937256128325,3
4,72,Medium,0.5791233333333333,0.0120475670711282,0.7613593333333334,0.0041094817597032,0.9115553333333332,0.0125468945294575,3
4,72,Full,0.543002,0.0118641374317731,0.746339,0.0037603158112052,0.8908113333333333,0.0093261707218629,3
