seed,split,alpha_global,affine_a,affine_b,alpha_raw_mean,alpha_raw_std,alpha_affine_mean,alpha_affine_std,alpha_oracle_mean,alpha_oracle_std,pearson_raw_oracle,spearman_raw_oracle,pearson_affine_oracle,spearman_affine_oracle,auc_top25_oracle_alpha_raw,auc_top50_oracle_alpha_raw,identity_error,global_error,raw_cond_error,affine_cond_error,oracle_error,global_improvement_vs_identity,affine_improvement_vs_identity,affine_improvement_vs_global,oracle_improvement_vs_global
0,val,0.36,0.28,0.14,0.589817225933075,0.19288021326065063,0.36257442831993103,0.027003232389688492,0.28240397572517395,0.35146254301071167,0.09991358896022746,0.10515477901398977,0.09991358368202687,0.10515488799653484,0.5702587659975895,0.5646841062768937,1.4321844577789307,1.4227076768875122,1.428849697113037,1.422654390335083,1.399816870689392,0.009476780891418457,0.009530067443847656,5.328655242919922e-05,0.022890806198120117
0,test,0.36,0.28,0.14,0.6007055640220642,0.1825082153081894,0.36409875750541687,0.025551149621605873,0.27553728222846985,0.32812729477882385,0.1370101555219478,0.15937510119335127,0.13701015289887108,0.15937511762479487,0.5972635858553289,0.5917509100946672,1.6069767475128174,1.5988246202468872,1.6051760911941528,1.5987308025360107,1.581164836883545,0.008152127265930176,0.00824594497680664,9.381771087646484e-05,0.017659783363342285
1,val,0.38,0.24,0.23,0.585425853729248,0.18814197182655334,0.37464794516563416,0.043272651731967926,0.2821408212184906,0.34844234585762024,0.11813149410842783,0.10723497868706677,0.11813149389620659,0.10723489007732183,0.5798366912947095,0.5631081328351552,1.4321844577789307,1.4231507778167725,1.4276032447814941,1.4230233430862427,1.402066707611084,0.009033679962158203,0.009161114692687988,0.00012743473052978516,0.021084070205688477
1,test,0.38,0.24,0.23,0.5893852114677429,0.1756773442029953,0.3755585849285126,0.04040578752756119,0.2740359306335449,0.3267611861228943,0.1427606928073515,0.15660393348337678,0.1427606908822943,0.1566039144189058,0.6011486685214595,0.592595645551198,1.6069767475128174,1.59995436668396,1.6047695875167847,1.5997897386550903,1.584238886833191,0.007022380828857422,0.007187008857727051,0.0001646280288696289,0.015715479850769043
2,val,0.35000000000000003,0.18000000000000005,0.31,0.5529288649559021,0.18530282378196716,0.3514079451560974,0.057443875819444656,0.2747311592102051,0.3464423716068268,0.14023381550492195,0.12496671326129234,0.1402338167129089,0.12496668618440794,0.5942998301927254,0.5751072457608897,1.4321844577789307,1.4239695072174072,1.42780339717865,1.423750638961792,1.4037489891052246,0.008214950561523438,0.008433818817138672,0.00021886825561523438,0.020220518112182617
2,test,0.35000000000000003,0.18000000000000005,0.31,0.5361373424530029,0.17436043918132782,0.3462025821208954,0.05405173823237419,0.2922458350658417,0.33515414595603943,0.15945617036178192,0.17574304307660396,0.15945617014742383,0.17574302893206917,0.6067567119016768,0.5992275480611401,1.6069767475128174,1.5991731882095337,1.6012918949127197,1.5989729166030884,1.583669900894165,0.007803559303283691,0.008003830909729004,0.0002002716064453125,0.015503287315368652
