model,true_future_latent_probe_error,predicted_latent_with_true_probe_error,predicted_latent_with_model_specific_probe_error,calibration_gap,error_ratio_true_probe_over_specific,specific_probe_over_true_latent_probe,action_acc_gain_from_calibration,regret_reduction_from_calibration,calibrated_action_acc,calibrated_mean_regret,mean_regret_reduction,min_regret_reduction,mean_acc_gain,stable_blocks,n_blocks
Tiny,0.0360613204538822,2.858814716339112,0.0308154169470071,2.8279992993921046,92.77222246433922,0.8545282468626202,0.5,0.2585271002026275,0.8046875,0.0402066164533607,0.0734020190219902,0.0623451748853007,0.6254837189012721,3,3
Medium,0.0360613204538822,2.552870988845825,0.0270678158849477,2.5258031729608774,94.3138892216814,0.7506052342027787,0.4296875,0.2546587763063144,0.734375,0.0601754419330973,0.0654555618431105,0.0540545581194458,0.5766152107020901,3,3
Full,0.0360613204538822,2.0058605670928955,0.0258081201463937,1.9800524469465015,77.72207180200937,0.7156731872699719,0.3828125,0.20685473352205,0.78125,0.0405034729046747,0.0728474579898935,0.0661782224444632,0.6396276595744681,3,3
