heldout,run,method,error,compute,selected,utility,delta_utility,threshold,calib_delta,calib_selected,inner_min_delta,inner_mean_delta,inner_median_threshold,inner_conservative_threshold
P004,cheap10_exp20,trajectory-aware RF conservative,2.1320390701293945,1.2022284122562674,0.06740947075208914,-2.1801282066196452,-0.0141971820682536,0.5761242972145081,,,0.0,0.0001018313653690317,0.5317850576171875,0.5761242972145081
P004,cheap10_exp20,trajectory-aware RF safe fallback,2.1259310245513916,1.0,0.0,-2.1659310245513916,0.0,0.5761242972145081,,,0.0,0.0001018313653690317,0.5317850576171875,0.5761242972145081
P004,cheap5_exp20,cheap-only,2.1259310245513916,1.0,0.0,-2.1659310245513916,0.0,,,,,,,
P004,cheap5_exp20,all-expensive,2.1787092685699463,4.0,1.0,-2.3387092685699464,-0.1727782440185548,,,,,,,
P004,cheap5_exp20,oracle upper bound,2.0890953540802,1.3192200557103064,0.1064066852367688,-2.1418641563086123,0.02406686824277937,,,,,,,
P004,cheap5_exp20,sample RF,2.1259310245513916,1.0,0.0,-2.1659310245513916,0.0,0.9696717725524903,0.0,0.0,,,,
P004,cheap5_exp20,sample RF + fallback,2.1259310245513916,1.0,0.0,-2.1659310245513916,0.0,0.9696717725524903,0.0,0.0,,,,
P004,cheap5_exp20,trajectory-aware RF median,2.143709897994995,1.6300835654596102,0.21002785515320335,-2.2089132406133793,-0.04298221606198771,0.501782702041626,,,0.0,3.004240896187227e-05,0.501782702041626,0.5553805099258423
P004,cheap5_exp20,trajectory-aware RF conservative,2.13112211227417,1.1955431754874652,0.06518105849582173,-2.1789438392936686,-0.013012814742277001,0.5553805099258423,,,0.0,3.004240896187227e-05,0.501782702041626,0.5553805099258423
P004,cheap5_exp20,trajectory-aware RF safe fallback,2.1259310245513916,1.0,0.0,-2.1659310245513916,0.0,0.5553805099258423,,,0.0,3.004240896187227e-05,0.501782702041626,0.5553805099258423
P005,cheap10_exp20,cheap-only,2.0329911708831787,1.0,0.0,-2.0729911708831787,0.0,,,,,,,
P005,cheap10_exp20,all-expensive,1.9986718893051147,4.0,1.0,-2.158671889305115,-0.08568071842193614,,,,,,,
P005,cheap10_exp20,oracle upper bound,1.97770094871521,1.7230508474576272,0.24101694915254238,-2.046622982613515,0.026368188269663584,,,,,,,
