lambda,heldout,variant_label,method,fixed_model,utility,top1,latency,delta_vs_fixed,delta_ci95_low,delta_ci95_high,stable_positive_vs_fixed,oracle_utility,oracle_gap,select_Tiny,select_Small,select_Medium,select_Full,n
0.0,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Medium,0.8867155664221679,0.8867155664221679,0.3071011384060374,0.008149959250203748,-0.0032599837000814994,0.021189894050529748,False,0.9470252648736757,0.0603096984515078,0.33251833740831294,0.33903830480847597,0.24531377343113284,0.08312958435207823,1227
0.0,block3_h36_seed13,"3-block, H=36",rf_expected_utility,Medium,0.8883455582722086,0.8883455582722086,0.29676827016217766,0.009779951100244499,-0.0057049714751426246,0.025285248573757205,False,0.9470252648736757,0.05867970660146704,0.6666666666666666,0.06519967400162999,0.17603911980440098,0.09209453952730236,1227
0.0,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,Medium,0.8924205378973105,0.8924205378973105,0.3392646566448022,0.013854930725346373,-0.0024449877750611247,0.03178484107579462,False,0.9470252648736757,0.0546047269763652,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,1227
0.0,block3_h36_seed13,"3-block, H=36",rf_oracle_label,Medium,0.8785656071719642,0.8785656071719642,0.30288379397939014,0.0,-0.02526487367563162,0.02936022819885908,False,0.9470252648736757,0.06845965770171147,0.7074164629176855,0.11491442542787286,0.04808475957620212,0.1295843520782396,1227
0.0,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,Medium,0.9470252648736757,0.9470252648736757,0.19469639920283072,0.06845965770171149,0.040749796251018745,0.097799511002445,True,0.9470252648736757,0.0,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,1227
0.01,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Medium,0.8863189951651681,0.8891605541972291,0.2841559032060645,0.011579759078904855,-0.0008079994646006856,0.027142942663449948,False,0.9450783008816475,0.05875930571647936,0.33903830480847597,0.34474327628361856,0.2665036674816626,0.04971475142624287,1227
0.01,block3_h36_seed13,"3-block, H=36",rf_expected_utility,Medium,0.8854789317254245,0.8883455582722086,0.28666265467841967,0.010739695639160905,-0.005555475022732362,0.0262481232774178,False,0.9450783008816475,0.05959936915622299,0.6715566422167889,0.06845965770171149,0.1817440912795436,0.07823960880195599,1227
0.01,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,Medium,0.8890278913308626,0.8924205378973105,0.3392646566448022,0.014288655244598953,-0.0021166828665049727,0.03153997397637644,False,0.9450783008816475,0.056050409550784885,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,1227
0.01,block3_h36_seed13,"3-block, H=36",rf_oracle_label,Medium,0.8755367692321704,0.8785656071719642,0.30288379397939014,0.0007975331459066993,-0.023870568377093723,0.03186803493130493,False,0.9450783008816475,0.06954153164947707,0.7074164629176855,0.11491442542787286,0.04808475957620212,0.1295843520782396,1227
0.01,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,Medium,0.9450783008816475,0.9470252648736757,0.19469639920283072,0.07033906479538377,0.041825366514860025,0.0988712464423579,True,0.9450783008816475,0.0,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,1227
0.02,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8853993878307033,0.8907905460472698,0.2695579108283308,0.01300501631944734,-0.013000549228260232,0.03896583376529213,False,0.9431313368896189,0.057731949058915655,0.3414832925835371,0.3504482477587612,0.2795436022819886,0.02852485737571312,1227
0.02,block3_h36_seed13,"3-block, H=36",rf_expected_utility,Tiny,0.881927921473105,0.8875305623471883,0.28013204370415995,0.009533549961849252,-0.014972314142795437,0.03407042357510323,False,0.9431313368896189,0.06120341541651397,0.6788916055419723,0.06601466992665037,0.18581907090464547,0.06927465362673187,1227
0.02,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,Tiny,0.8856352447644146,0.8924205378973105,0.3392646566448022,0.013240873253158657,-0.014139096696747566,0.0405786665567445,False,0.9431313368896189,0.057496092125204346,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,1227
0.02,block3_h36_seed13,"3-block, H=36",rf_oracle_label,Tiny,0.8725079312923762,0.8785656071719642,0.30288379397939014,0.0001135597811205261,-0.02412273899894725,0.02513406151046862,False,0.9431313368896189,0.07062340559724267,0.7074164629176855,0.11491442542787286,0.04808475957620212,0.1295843520782396,1227
0.02,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,Tiny,0.9431313368896189,0.9470252648736757,0.19469639920283072,0.07073696537836321,0.05452913324414822,0.08619625117400136,True,0.9431313368896189,0.0,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,1227
0.05,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8783972210964597,0.8907905460472698,0.24786649901620225,0.011592221413674638,-0.013480230931731656,0.0399458431359254,False,0.9372904449135342,0.058893223817074514,0.3512632436837816,0.36511817440912797,0.2828035859820701,0.0008149959250203749,1227
0.05,block3_h36_seed13,"3-block, H=36",rf_expected_utility,Tiny,0.8763115976872108,0.8891605541972291,0.25697913020036484,0.009506598004425758,-0.011522478672840043,0.03080126762690112,False,0.9372904449135342,0.06097884722632341,0.6854115729421353,0.08394458027709861,0.1915240423797881,0.039119804400977995,1227
0.05,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,Tiny,0.8754573050650704,0.8924205378973105,0.3392646566448022,0.008652305382285376,-0.017637031374121006,0.03526735018091628,False,0.9372904449135342,0.061833139848463836,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,1227
0.05,block3_h36_seed13,"3-block, H=36",rf_oracle_label,Tiny,0.8634214174729945,0.8785656071719642,0.30288379397939014,-0.0033835822097903904,-0.027175524335540723,0.023017754459219667,False,0.9372904449135342,0.07386902744053969,0.7074164629176855,0.11491442542787286,0.04808475957620212,0.1295843520782396,1227
0.05,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,Tiny,0.9372904449135342,0.9470252648736757,0.19469639920283072,0.07048544523074908,0.05590001862678365,0.0866031571763621,True,0.9372904449135342,0.0,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,1227
0.1,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8690076153122898,0.8932355338223309,0.24227918510041152,0.011518235343622707,-0.011276925022971002,0.0357754114877241,False,0.9275556249533923,0.058548009641102516,0.37489812550937246,0.36756316218418905,0.2575387123064385,0.0,1227
0.1,block3_h36_seed13,"3-block, H=36",rf_expected_utility,Tiny,0.8667404222490085,0.8907905460472698,0.24050123798261314,0.00925104228034143,-0.008713581535999687,0.028454965800893246,False,0.9275556249533923,0.060815202704383786,0.7049714751426243,0.08149959250203749,0.19559902200489,0.017929910350448247,1227
0.1,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,Tiny,0.8584940722328303,0.8924205378973105,0.3392646566448022,0.0010046922641632657,-0.025776394260286908,0.026908820222768033,False,0.9275556249533923,0.06906155272056202,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,1227
0.1,block3_h36_seed13,"3-block, H=36",rf_oracle_label,Tiny,0.8482772277740249,0.8785656071719642,0.30288379397939014,-0.009212152194641901,-0.03344954449400257,0.014728105179353555,False,0.9275556249533923,0.07927839717936735,0.7074164629176855,0.11491442542787286,0.04808475957620212,0.1295843520782396,1227
0.1,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,Tiny,0.9275556249533923,0.9470252648736757,0.19469639920283072,0.07006624498472555,0.055420653398879374,0.0866886675159302,True,0.9275556249533923,0.0,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,1227
0.15,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8554039260928848,0.8907905460472698,0.23591079969589965,0.007230165838335782,-0.015436595529277942,0.0326554576760594,False,0.9178208049932511,0.06241687890036629,0.3952730236348818,0.38060309698451505,0.2241238793806031,0.0,1227
0.15,block3_h36_seed13,"3-block, H=36",rf_expected_utility,Tiny,0.8540093712535041,0.8883455582722086,0.22890791345803088,0.00583561099895498,-0.01286923261248437,0.025232333118864237,False,0.9178208049932511,0.06381143373974707,0.7163814180929096,0.09698451507742462,0.17929910350448247,0.007334963325183374,1227
0.15,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,Tiny,0.8415308394005901,0.8924205378973105,0.3392646566448022,-0.0066429208539588456,-0.03192082516363394,0.018424084166318935,False,0.9178208049932511,0.07628996559266099,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,1227
0.15,block3_h36_seed13,"3-block, H=36",rf_oracle_label,Tiny,0.8331330380750557,0.8785656071719642,0.30288379397939014,-0.015040722179493413,-0.03806357695252381,0.008306661990247407,False,0.9178208049932511,0.08468776691819546,0.7074164629176855,0.11491442542787286,0.04808475957620212,0.1295843520782396,1227
0.15,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,Tiny,0.9178208049932511,0.9470252648736757,0.19469639920283072,0.06964704473870201,0.054480220718451974,0.08521866575708015,True,0.9178208049932511,0.0,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,1227
0.2,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8420650519504943,0.8883455582722086,0.23140253160857088,0.0032069114100634565,-0.019265203727596557,0.028254485043787733,False,0.9080859850331093,0.06602093308261503,0.4099429502852486,0.3895680521597392,0.20048899755501223,0.0,1227
0.2,block3_h36_seed13,"3-block, H=36",rf_expected_utility,Tiny,0.8462065398956579,0.8907905460472698,0.22292003075806,0.0073483993552267484,-0.011305356190335302,0.026272972774511252,False,0.9080859850331093,0.06187944513745147,0.7310513447432763,0.10024449877750612,0.16544417277913612,0.0032599837000814994,1227
0.2,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,Tiny,0.8245676065683499,0.8924205378973105,0.3392646566448022,-0.014290533972080943,-0.04087005899760122,0.010586420999491869,False,0.9080859850331093,0.0835183784647594,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,1227
0.2,block3_h36_seed13,"3-block, H=36",rf_oracle_label,Tiny,0.817988848376086,0.8785656071719642,0.30288379397939014,-0.020869292164344896,-0.04380616613486061,0.0012594322857999896,False,0.9080859850331093,0.09009713665702335,0.7074164629176855,0.11491442542787286,0.04808475957620212,0.1295843520782396,1227
0.2,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,Tiny,0.9080859850331093,0.9470252648736757,0.19469639920283072,0.06922784449267846,0.0540133287835261,0.08525054863053727,True,0.9080859850331093,0.0,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,1227
0.3,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8177516957145149,0.8850855745721271,0.22444626285870714,-0.002475205397680019,-0.02645691046370775,0.022172546017366172,False,0.8886163451128264,0.0708646493983115,0.4400977995110024,0.3952730236348818,0.16462917685411574,0.0,1227
0.3,block3_h36_seed13,"3-block, H=36",rf_expected_utility,Tiny,0.8282821646665997,0.8932355338223309,0.21651123051910376,0.008055263554404737,-0.012116301458743933,0.029072726077237248,False,0.8886163451128264,0.06033418044622674,0.7481662591687042,0.10594947025264874,0.1458842705786471,0.0,1227
0.3,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,Tiny,0.7906411409038697,0.8924205378973105,0.3392646566448022,-0.029585760208325176,-0.05427962025778092,-0.005607134749100452,False,0.8886163451128264,0.09797520420895667,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,1227
0.3,block3_h36_seed13,"3-block, H=36",rf_oracle_label,Tiny,0.7877004689781469,0.8785656071719642,0.30288379397939014,-0.032526432134047926,-0.055110452490335006,-0.010730055411474941,False,0.8886163451128264,0.10091587613467945,0.7074164629176855,0.11491442542787286,0.04808475957620212,0.1295843520782396,1227
0.3,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,Tiny,0.8886163451128264,0.9470252648736757,0.19469639920283072,0.06838944400063139,0.05349860835786647,0.0829574684904392,True,0.8886163451128264,0.0,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,1227
0.0,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,Medium,0.9104477611940298,0.9104477611940298,0.25015584026950743,0.026533996683250415,0.008291873963515755,0.04477611940298507,True,0.9494195688225538,0.038971807628524036,0.7280265339966833,0.015754560530679935,0.23466003316749584,0.02155887230514096,1206
0.0,block3_h48_seed10,"3-block, H=48",rf_expected_utility,Medium,0.9029850746268657,0.9029850746268657,0.2996360352456886,0.019071310116086235,0.0041459369817578775,0.03399668325041459,True,0.9494195688225538,0.046434494195688125,0.6907131011608624,0.07960199004975124,0.12106135986733002,0.10862354892205639,1206
0.0,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,Medium,0.8988391376451078,0.8988391376451078,0.2286652129703816,0.014925373134328358,0.001658374792703151,0.02902155887230514,True,0.9494195688225538,0.05058043117744604,0.7454394693200663,0.12935323383084577,0.09950248756218906,0.02570480928689884,1206
0.0,block3_h48_seed10,"3-block, H=48",rf_oracle_label,Medium,0.8930348258706468,0.8930348258706468,0.21590431614802655,0.00912106135986733,-0.004975124378109453,0.02404643449419569,False,0.9494195688225538,0.056384742951907096,0.7081260364842454,0.16666666666666666,0.12106135986733002,0.0041459369817578775,1206
0.0,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,Medium,0.9494195688225538,0.9494195688225538,0.20426038091180324,0.06550580431177445,0.05140961857379768,0.07960199004975124,True,0.9494195688225538,0.0,0.9038142620232172,0.05306799336650083,0.02902155887230514,0.014096185737976783,1206
0.01,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,Medium,0.9089030868220916,0.9112769485903814,0.2373861768289771,0.02881569339701282,0.009701614831508,0.047859416910739985,True,0.947376965013436,0.0384738781913444,0.736318407960199,0.020729684908789386,0.23797678275290216,0.004975124378109453,1206
0.01,block3_h48_seed10,"3-block, H=48",rf_expected_utility,Medium,0.8994291458049055,0.9021558872305141,0.27267414256084876,0.01934175237982677,0.00438118531684674,0.034354700544808076,True,0.947376965013436,0.04794781920853053,0.7139303482587065,0.0845771144278607,0.12769485903814262,0.07379767827529021,1206
0.01,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,Medium,0.8965524855154039,0.8988391376451078,0.2286652129703816,0.016465092090325144,0.003197129428997816,0.031334422632677474,True,0.947376965013436,0.05082447949803215,0.7454394693200663,0.12935323383084577,0.09950248756218906,0.02570480928689884,1206
0.01,block3_h48_seed10,"3-block, H=48",rf_oracle_label,Medium,0.8908757827091666,0.8930348258706468,0.21590431614802655,0.01078838928408767,-0.003332747549318536,0.024879756757637095,False,0.947376965013436,0.05650118230426948,0.7081260364842454,0.16666666666666666,0.12106135986733002,0.0041459369817578775,1206
0.01,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,Medium,0.947376965013436,0.9494195688225538,0.20426038091180324,0.06728957158835702,0.05320500304539598,0.08221845877256043,True,0.947376965013436,0.0,0.9038142620232172,0.05306799336650083,0.02902155887230514,0.014096185737976783,1206
0.02,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,Medium,0.9066224805250704,0.9112769485903814,0.23272340326554802,0.030361458185692303,0.012853002910900028,0.04785125240257973,True,0.9453343612043176,0.038711880679247135,0.74212271973466,0.02321724709784411,0.23466003316749584,0.0,1206
0.02,block3_h48_seed10,"3-block, H=48",rf_expected_utility,Medium,0.8978521747527993,0.9029850746268657,0.25664499370330723,0.021591152413421372,0.005793668653407474,0.037460864132983974,True,0.9453343612043176,0.04748218645151825,0.7288557213930348,0.08623548922056384,0.1318407960199005,0.05306799336650083,1206
