lambda,heldout,variant_label,method,utility_mean,utility_std,top1_mean,top1_std,latency_mean,latency_std,select_Tiny_mean,select_Small_mean,select_Medium_mean,select_Full_mean,n
0.0,block3_h36_seed13,"3-block, H=36",fixed_Full,0.8549307253463733,0.023747028988318594,0.8549307253463733,0.023747028988318594,1.0,0.0,0.0,0.0,0.0,1.0,409
0.0,block3_h36_seed13,"3-block, H=36",fixed_Medium,0.8785656071719642,0.013902789005078985,0.8785656071719642,0.013902789005078985,0.3826371085700641,0.0,0.0,0.0,1.0,0.0,409
0.0,block3_h36_seed13,"3-block, H=36",fixed_Small,0.8687856560717196,0.02497400724701637,0.8687856560717196,0.02497400724701637,0.2010189189360956,0.0,0.0,1.0,0.0,0.0,409
0.0,block3_h36_seed13,"3-block, H=36",fixed_Tiny,0.876120619396903,0.021079897565407606,0.876120619396903,0.021079897565407606,0.18631239428236,0.0,1.0,0.0,0.0,0.0,409
0.0,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8924205378973106,0.004234843050290633,0.8924205378973106,0.004234843050290633,0.33926465664480226,0.018404602538317754,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,409
0.0,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9470252648736756,0.013902789005079004,0.9470252648736756,0.013902789005079004,0.19469639920283074,0.0045367132528470935,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,409
0.0,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.8883455582722086,0.003734780517486403,0.8883455582722086,0.003734780517486403,0.2967682701621776,0.0033628361778855285,0.6666666666666666,0.06519967400163,0.17603911980440098,0.09209453952730236,409
0.0,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8785656071719642,0.014737686487387953,0.8785656071719642,0.014737686487387953,0.3028837939793902,0.03251441839821708,0.7074164629176855,0.11491442542787285,0.04808475957620212,0.1295843520782396,409
0.0,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.8867155664221679,0.00508964792045504,0.8867155664221679,0.00508964792045504,0.3071011384060374,0.022923034559745793,0.33251833740831294,0.33903830480847597,0.24531377343113284,0.08312958435207825,409
0.0,block3_h48_seed10,"3-block, H=48",fixed_Full,0.8723051409618573,0.029988625738018512,0.8723051409618573,0.029988625738018512,1.0,0.0,0.0,0.0,0.0,1.0,402
0.0,block3_h48_seed10,"3-block, H=48",fixed_Medium,0.8839137645107794,0.0014361946994766504,0.8839137645107794,0.0014361946994766504,0.382637108570064,0.0,0.0,0.0,1.0,0.0,402
0.0,block3_h48_seed10,"3-block, H=48",fixed_Small,0.867330016583748,0.01656300526984926,0.867330016583748,0.01656300526984926,0.20101891893609566,0.0,0.0,1.0,0.0,0.0,402
0.0,block3_h48_seed10,"3-block, H=48",fixed_Tiny,0.8532338308457712,0.019744412769138735,0.8532338308457712,0.019744412769138735,0.18631239428236002,0.0,1.0,0.0,0.0,0.0,402
0.0,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.8988391376451078,0.003799814009084433,0.8988391376451078,0.003799814009084433,0.2286652129703816,0.006067336376664722,0.7454394693200662,0.12935323383084577,0.09950248756218905,0.025704809286898837,402
0.0,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9494195688225538,0.002872389398953405,0.9494195688225538,0.002872389398953405,0.2042603809118033,0.0031794963057557176,0.9038142620232174,0.05306799336650083,0.029021558872305144,0.014096185737976783,402
0.0,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.9029850746268657,0.006581470923046226,0.9029850746268657,0.006581470923046226,0.29963603524568855,0.011233182105667504,0.6907131011608624,0.07960199004975124,0.12106135986733002,0.10862354892205639,402
0.0,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8930348258706468,0.00430858409843004,0.8930348258706468,0.00430858409843004,0.21590431614802652,0.004402329378018009,0.7081260364842454,0.16666666666666666,0.12106135986733002,0.004145936981757877,402
0.0,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.9104477611940299,0.015534820891538285,0.9104477611940299,0.015534820891538285,0.2501558402695075,0.004729379570267485,0.7280265339966833,0.015754560530679935,0.23466003316749584,0.02155887230514096,402
0.0,block3_h72_seed14,"3-block, H=72",fixed_Full,0.8079096045197739,0.01091828027317895,0.8079096045197739,0.01091828027317895,1.0,0.0,0.0,0.0,0.0,1.0,413
0.0,block3_h72_seed14,"3-block, H=72",fixed_Medium,0.8288942695722357,0.016121859851039744,0.8288942695722357,0.016121859851039744,0.3826371085700641,0.0,0.0,0.0,1.0,0.0,413
0.0,block3_h72_seed14,"3-block, H=72",fixed_Small,0.7917675544794189,0.05935908315802068,0.7917675544794189,0.05935908315802068,0.2010189189360956,0.0,0.0,1.0,0.0,0.0,413
0.0,block3_h72_seed14,"3-block, H=72",fixed_Tiny,0.8095238095238094,0.031969818111926306,0.8095238095238094,0.031969818111926306,0.18631239428236002,0.0,1.0,0.0,0.0,0.0,413
0.0,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.8119451170298628,0.012425185083406471,0.8119451170298628,0.012425185083406471,0.7116958362307958,0.01580249553381544,0.354317998385795,0.0,0.0,0.645682001614205,413
0.0,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9354317998385794,0.005591770161642898,0.9354317998385794,0.005591770161642898,0.2070717808916266,0.0043344877117962735,0.87409200968523,0.06295399515738499,0.05084745762711864,0.012106537530266345,413
0.0,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.8361581920903954,0.009785597782875063,0.8361581920903954,0.009785597782875063,0.3424734949146215,0.02638019809209519,0.3535108958837772,0.3026634382566586,0.20742534301856339,0.13640032284100082,413
0.0,block3_h72_seed14,"3-block, H=72",rf_oracle_label,0.8208232445520581,0.021521051857906984,0.8208232445520581,0.021521051857906984,0.31769293317352,0.009834028742510778,0.6311541565778853,0.13075060532687652,0.10411622276029055,0.13397901533494752,413
0.0,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.8208232445520581,0.020969138106160752,0.8208232445520581,0.020969138106160752,0.8464431957808504,0.00203254520444145,0.0,0.0032284100080710253,0.24455205811138014,0.7522195318805488,413
0.01,block3_h36_seed13,"3-block, H=36",fixed_Full,0.8449307253463734,0.023747028988318573,0.8549307253463733,0.023747028988318594,1.0,0.0,0.0,0.0,0.0,1.0,409
0.01,block3_h36_seed13,"3-block, H=36",fixed_Medium,0.8747392360862634,0.013902789005078985,0.8785656071719642,0.013902789005078985,0.3826371085700641,0.0,0.0,0.0,1.0,0.0,409
0.01,block3_h36_seed13,"3-block, H=36",fixed_Small,0.8667754668823585,0.02497400724701637,0.8687856560717196,0.02497400724701637,0.2010189189360956,0.0,0.0,1.0,0.0,0.0,409
0.01,block3_h36_seed13,"3-block, H=36",fixed_Tiny,0.8742574954540793,0.02107989756540762,0.876120619396903,0.021079897565407606,0.18631239428236,0.0,1.0,0.0,0.0,0.0,409
0.01,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8890278913308624,0.004149999777023839,0.8924205378973106,0.004234843050290633,0.33926465664480226,0.018404602538317754,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,409
0.01,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9450783008816472,0.013936946963650432,0.9470252648736756,0.013902789005079004,0.19469639920283074,0.0045367132528470935,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,409
