lambda,heldout,variant_label,ladder_seed,utility,top1,relative_latency,select_Tiny,select_Small,select_Medium,select_Full,n,method
0.0,block3_h36_seed13,"3-block, H=36",0,0.8948655256723717,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.0,block3_h36_seed13,"3-block, H=36",0,0.8973105134474327,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.0,block3_h36_seed13,"3-block, H=36",0,0.863080684596577,0.863080684596577,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.0,block3_h36_seed13,"3-block, H=36",0,0.8288508557457213,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.0,block3_h36_seed13,"3-block, H=36",0,0.9584352078239609,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,409,oracle_multicapacity
0.0,block3_h36_seed13,"3-block, H=36",0,0.882640586797066,0.882640586797066,0.28551816464485547,0.33496332518337407,0.3471882640586797,0.2665036674816626,0.05134474327628362,409,ridge_expected_utility
0.0,block3_h36_seed13,"3-block, H=36",0,0.8850855745721271,0.8850855745721271,0.3002875198880039,0.6528117359413202,0.06356968215158924,0.19070904645476772,0.09290953545232274,409,rf_expected_utility
0.0,block3_h36_seed13,"3-block, H=36",0,0.8875305623471883,0.8875305623471883,0.3291041361661471,0.7579462102689487,0.0488997555012225,0.02444987775061125,0.1687041564792176,409,logreg_oracle_label
0.0,block3_h36_seed13,"3-block, H=36",0,0.8924205378973105,0.8924205378973105,0.2767443255434192,0.7017114914425427,0.13202933985330073,0.07579462102689487,0.09046454767726161,409,rf_oracle_label
0.0,block3_h36_seed13,"3-block, H=36",1,0.8533007334963325,0.8533007334963325,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.0,block3_h36_seed13,"3-block, H=36",1,0.8508557457212714,0.8508557457212714,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.0,block3_h36_seed13,"3-block, H=36",1,0.8899755501222494,0.8899755501222494,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.0,block3_h36_seed13,"3-block, H=36",1,0.8753056234718827,0.8753056234718827,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.0,block3_h36_seed13,"3-block, H=36",1,0.9315403422982885,0.9315403422982885,0.19758678451689035,0.921760391198044,0.039119804400977995,0.034229828850855744,0.004889975550122249,409,oracle_multicapacity
0.0,block3_h36_seed13,"3-block, H=36",1,0.8924205378973105,0.8924205378973105,0.3311627777403645,0.3105134474327628,0.33007334963325186,0.2469437652811736,0.11246943765281174,409,ridge_expected_utility
0.0,block3_h36_seed13,"3-block, H=36",1,0.8875305623471883,0.8875305623471883,0.2935874387045888,0.6797066014669927,0.04645476772616137,0.1882640586797066,0.08557457212713937,409,rf_expected_utility
0.0,block3_h36_seed13,"3-block, H=36",1,0.8948655256723717,0.8948655256723717,0.3605097633818722,0.7114914425427873,0.07579462102689487,0.0,0.21271393643031786,409,logreg_oracle_label
0.0,block3_h36_seed13,"3-block, H=36",1,0.8801955990220048,0.8801955990220048,0.33929305574589247,0.687041564792176,0.10268948655256724,0.03178484107579462,0.1784841075794621,409,rf_oracle_label
0.0,block3_h36_seed13,"3-block, H=36",2,0.8801955990220048,0.8801955990220048,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.0,block3_h36_seed13,"3-block, H=36",2,0.8581907090464548,0.8581907090464548,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.0,block3_h36_seed13,"3-block, H=36",2,0.882640586797066,0.882640586797066,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.0,block3_h36_seed13,"3-block, H=36",2,0.8606356968215159,0.8606356968215159,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.0,block3_h36_seed13,"3-block, H=36",2,0.9511002444987775,0.9511002444987775,0.19703485844453048,0.9290953545232273,0.034229828850855744,0.03178484107579462,0.004889975550122249,409,oracle_multicapacity
0.0,block3_h36_seed13,"3-block, H=36",2,0.8850855745721271,0.8850855745721271,0.3046224728328923,0.35207823960880197,0.33985330073349634,0.22249388753056235,0.08557457212713937,409,ridge_expected_utility
0.0,block3_h36_seed13,"3-block, H=36",2,0.8924205378973105,0.8924205378973105,0.29642985189394017,0.6674816625916871,0.08557457212713937,0.1491442542787286,0.097799511002445,409,rf_expected_utility
0.0,block3_h36_seed13,"3-block, H=36",2,0.8948655256723717,0.8948655256723717,0.3281800703863874,0.7603911980440098,0.05134474327628362,0.019559902200488997,0.1687041564792176,409,logreg_oracle_label
0.0,block3_h36_seed13,"3-block, H=36",2,0.863080684596577,0.863080684596577,0.29261400064885884,0.7334963325183375,0.1100244498777506,0.03667481662591687,0.1198044009779951,409,rf_oracle_label
0.01,block3_h36_seed13,"3-block, H=36",0,0.8930024017295479,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.01,block3_h36_seed13,"3-block, H=36",0,0.8953003242580715,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.01,block3_h36_seed13,"3-block, H=36",0,0.8592543135108763,0.863080684596577,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.01,block3_h36_seed13,"3-block, H=36",0,0.8188508557457214,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.01,block3_h36_seed13,"3-block, H=36",0,0.95654053227749,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,409,oracle_multicapacity
0.01,block3_h36_seed13,"3-block, H=36",0,0.8848691415935878,0.8875305623471883,0.26614207536002826,0.3422982885085575,0.3545232273838631,0.2787286063569682,0.02444987775061125,409,ridge_expected_utility
0.01,block3_h36_seed13,"3-block, H=36",0,0.8797375189393228,0.882640586797066,0.29030678577430885,0.6552567237163814,0.06601466992665037,0.20048899755501223,0.07823960880195599,409,rf_expected_utility
0.01,block3_h36_seed13,"3-block, H=36",0,0.8842395209855266,0.8875305623471883,0.3291041361661471,0.7579462102689487,0.0488997555012225,0.02444987775061125,0.1687041564792176,409,logreg_oracle_label
0.01,block3_h36_seed13,"3-block, H=36",0,0.8896530946418763,0.8924205378973105,0.2767443255434192,0.7017114914425427,0.13202933985330073,0.07579462102689487,0.09046454767726161,409,rf_oracle_label
0.01,block3_h36_seed13,"3-block, H=36",1,0.8514376095535088,0.8533007334963325,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.01,block3_h36_seed13,"3-block, H=36",1,0.8488455565319102,0.8508557457212714,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.01,block3_h36_seed13,"3-block, H=36",1,0.8861491790365487,0.8899755501222494,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.01,block3_h36_seed13,"3-block, H=36",1,0.8653056234718827,0.8753056234718827,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.01,block3_h36_seed13,"3-block, H=36",1,0.9295644744531194,0.9315403422982885,0.19758678451689035,0.921760391198044,0.039119804400977995,0.034229828850855744,0.004889975550122249,409,oracle_multicapacity
0.01,block3_h36_seed13,"3-block, H=36",1,0.8893932376960944,0.8924205378973105,0.3027300201216019,0.31784841075794623,0.3374083129584352,0.27383863080684595,0.07090464547677261,409,ridge_expected_utility
0.01,block3_h36_seed13,"3-block, H=36",1,0.8822601614309076,0.8850855745721271,0.28254131412195493,0.6821515892420538,0.04645476772616137,0.20293398533007334,0.06845965770171149,409,rf_expected_utility
0.01,block3_h36_seed13,"3-block, H=36",1,0.8912604280385528,0.8948655256723717,0.3605097633818722,0.7114914425427873,0.07579462102689487,0.0,0.21271393643031786,409,logreg_oracle_label
0.01,block3_h36_seed13,"3-block, H=36",1,0.8768026684645458,0.8801955990220048,0.33929305574589247,0.687041564792176,0.10268948655256724,0.03178484107579462,0.1784841075794621,409,rf_oracle_label
0.01,block3_h36_seed13,"3-block, H=36",2,0.8783324750791812,0.8801955990220048,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.01,block3_h36_seed13,"3-block, H=36",2,0.8561805198570935,0.8581907090464548,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.01,block3_h36_seed13,"3-block, H=36",2,0.8788142157113653,0.882640586797066,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.01,block3_h36_seed13,"3-block, H=36",2,0.850635696821516,0.8606356968215159,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.01,block3_h36_seed13,"3-block, H=36",2,0.9491298959143321,0.9511002444987775,0.19703485844453048,0.9290953545232273,0.034229828850855744,0.03178484107579462,0.004889975550122249,409,oracle_multicapacity
0.01,block3_h36_seed13,"3-block, H=36",2,0.8846946062058226,0.8875305623471883,0.28359561413656337,0.3569682151589242,0.3422982885085575,0.2469437652811736,0.05378973105134474,409,ridge_expected_utility
0.01,block3_h36_seed13,"3-block, H=36",2,0.8944391148060427,0.8973105134474327,0.2871398641389952,0.6772616136919315,0.09290953545232274,0.14180929095354522,0.08801955990220049,409,rf_expected_utility
0.01,block3_h36_seed13,"3-block, H=36",2,0.8915837249685077,0.8948655256723717,0.3281800703863874,0.7603911980440098,0.05134474327628362,0.019559902200488997,0.1687041564792176,409,logreg_oracle_label
0.01,block3_h36_seed13,"3-block, H=36",2,0.8601545445900884,0.863080684596577,0.29261400064885884,0.7334963325183375,0.1100244498777506,0.03667481662591687,0.1198044009779951,409,rf_oracle_label
0.02,block3_h36_seed13,"3-block, H=36",0,0.8911392777867244,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.02,block3_h36_seed13,"3-block, H=36",0,0.8932901350687106,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.02,block3_h36_seed13,"3-block, H=36",0,0.8554279424251757,0.863080684596577,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.02,block3_h36_seed13,"3-block, H=36",0,0.8088508557457214,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.02,block3_h36_seed13,"3-block, H=36",0,0.9546458567310195,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,409,oracle_multicapacity
0.02,block3_h36_seed13,"3-block, H=36",0,0.8823469577333687,0.8875305623471883,0.25918023069097834,0.34474327628361856,0.3569682151589242,0.28361858190709044,0.014669926650366748,409,ridge_expected_utility
0.02,block3_h36_seed13,"3-block, H=36",0,0.8794201140409416,0.8850855745721271,0.2832730265592749,0.6625916870415648,0.06356968215158924,0.20537897310513448,0.06845965770171149,409,rf_expected_utility
0.02,block3_h36_seed13,"3-block, H=36",0,0.8809484796238654,0.8875305623471883,0.3291041361661471,0.7579462102689487,0.0488997555012225,0.02444987775061125,0.1687041564792176,409,logreg_oracle_label
0.02,block3_h36_seed13,"3-block, H=36",0,0.886885651386442,0.8924205378973105,0.2767443255434192,0.7017114914425427,0.13202933985330073,0.07579462102689487,0.09046454767726161,409,rf_oracle_label
0.02,block3_h36_seed13,"3-block, H=36",1,0.8495744856106854,0.8533007334963325,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.02,block3_h36_seed13,"3-block, H=36",1,0.8468353673425493,0.8508557457212714,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.02,block3_h36_seed13,"3-block, H=36",1,0.882322807950848,0.8899755501222494,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.02,block3_h36_seed13,"3-block, H=36",1,0.8553056234718828,0.8753056234718827,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.02,block3_h36_seed13,"3-block, H=36",1,0.9275886066079508,0.9315403422982885,0.19758678451689035,0.921760391198044,0.039119804400977995,0.034229828850855744,0.004889975550122249,409,oracle_multicapacity
0.02,block3_h36_seed13,"3-block, H=36",1,0.8867253777344523,0.8924205378973105,0.2847580081429101,0.3202933985330073,0.3422982885085575,0.293398533007335,0.044009779951100246,409,ridge_expected_utility
0.02,block3_h36_seed13,"3-block, H=36",1,0.8795526773736903,0.8850855745721271,0.2766448599218438,0.684596577017115,0.05134474327628362,0.20293398533007334,0.061124694376528114,409,rf_expected_utility
0.02,block3_h36_seed13,"3-block, H=36",1,0.8876553304047342,0.8948655256723717,0.3605097633818722,0.7114914425427873,0.07579462102689487,0.0,0.21271393643031786,409,logreg_oracle_label
0.02,block3_h36_seed13,"3-block, H=36",1,0.8734097379070871,0.8801955990220048,0.33929305574589247,0.687041564792176,0.10268948655256724,0.03178484107579462,0.1784841075794621,409,rf_oracle_label
0.02,block3_h36_seed13,"3-block, H=36",2,0.8764693511363577,0.8801955990220048,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.02,block3_h36_seed13,"3-block, H=36",2,0.8541703306677326,0.8581907090464548,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.02,block3_h36_seed13,"3-block, H=36",2,0.8749878446256647,0.882640586797066,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.02,block3_h36_seed13,"3-block, H=36",2,0.8406356968215161,0.8606356968215159,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.02,block3_h36_seed13,"3-block, H=36",2,0.9471595473298869,0.9511002444987775,0.19703485844453048,0.9290953545232273,0.034229828850855744,0.03178484107579462,0.004889975550122249,409,oracle_multicapacity
0.02,block3_h36_seed13,"3-block, H=36",2,0.8871258280242883,0.8924205378973105,0.264735493651104,0.3594132029339853,0.35207823960880197,0.2616136919315403,0.02689486552567237,409,ridge_expected_utility
0.02,block3_h36_seed13,"3-block, H=36",2,0.8868109730046833,0.8924205378973105,0.28047824463136106,0.6894865525672371,0.08312958435207823,0.1491442542787286,0.07823960880195599,409,rf_expected_utility
0.02,block3_h36_seed13,"3-block, H=36",2,0.8883019242646439,0.8948655256723717,0.3281800703863874,0.7603911980440098,0.05134474327628362,0.019559902200488997,0.1687041564792176,409,logreg_oracle_label
0.02,block3_h36_seed13,"3-block, H=36",2,0.8572284045835997,0.863080684596577,0.29261400064885884,0.7334963325183375,0.1100244498777506,0.03667481662591687,0.1198044009779951,409,rf_oracle_label
0.05,block3_h36_seed13,"3-block, H=36",0,0.8855499059582536,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.05,block3_h36_seed13,"3-block, H=36",0,0.887259567500628,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.05,block3_h36_seed13,"3-block, H=36",0,0.843948829168074,0.863080684596577,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
