dist,system,top1_mean,top1_std,mrr_mean,mrr_std,mean_rank_mean,mean_rank_std,margin_mean,margin_std
50,clean_action,0.2631833333333333,0.004206859477884513,0.5038333333333334,0.0028605360802945053,2.8016666666666663,0.011690451944500151,-0.1575065,0.0027751698146239625
50,current_embedding,0.23728333333333332,0.0032455610711657587,0.4807166666666667,0.0023861405379119447,2.9233333333333333,0.008164965809277223,-0.20008266666666666,0.0033003366292950528
50,negative_action,0.22540000000000002,0.00249639740426079,0.4702,0.001819890106572383,2.973333333333333,0.008164965809277287,-0.2198835,0.003452343247708709
50,oracle_future,1.0,0.0,1.0,0.0,1.0,0.0,0.13030166666666668,0.0035247769669394177
50,random_action,0.23723333333333332,0.002785438325769705,0.4807333333333333,0.0021143951065651506,2.9233333333333333,0.008164965809277223,-0.19799183333333334,0.00312028732117199
50,shuffled_prediction,0.22506666666666666,0.0027478476425498305,0.47680000000000006,0.0015073154945133335,2.9133333333333336,0.005163977794943216,-0.10923516666666666,0.0005312187559439707
50,zero_action,0.23778333333333335,0.0026164224939154365,0.48095,0.0020245987256737926,2.9233333333333333,0.008164965809277223,-0.19707083333333333,0.0031808323072219182
100,clean_action,0.26703333333333334,0.004093246470305285,0.5114666666666667,0.0030839368778668393,2.74,0.014142135623730826,-0.13867983333333334,0.001524224841244452
100,current_embedding,0.22683333333333333,0.0026650828630019542,0.47398333333333337,0.0025134969000710538,2.9450000000000003,0.015165750888102866,-0.1972505,0.0019358039931769975
100,negative_action,0.20395,0.002591331703969996,0.4530666666666667,0.002502532051076806,3.0516666666666663,0.014719601443879805,-0.23230116666666667,0.00228108872397956
100,oracle_future,1.0,0.0,1.0,0.0,1.0,0.0,0.13543566666666665,0.00143411166464354
100,random_action,0.2263166666666667,0.0033748580217049956,0.4737166666666666,0.0028875018037512364,2.9450000000000003,0.015165750888102866,-0.19498783333333333,0.001964834691943992
100,shuffled_prediction,0.22035000000000002,0.002000749859427709,0.47218333333333334,0.0012367969383317052,2.936666666666667,0.005163977794943173,-0.11040233333333332,0.001978633636292137
100,zero_action,0.22681666666666667,0.003646596586773296,0.4738833333333334,0.003040668786084192,2.9450000000000003,0.015165750888102866,-0.19407066666666664,0.0019828911888115992
150,clean_action,0.27581666666666665,0.0030235189211689517,0.5219833333333334,0.0018126407991289146,2.6750000000000003,0.0054772255750518495,-0.10915083333333332,0.0006813593520798464
150,current_embedding,0.2223166666666667,0.002844233933182469,0.47225,0.001521512405470282,2.9433333333333334,0.008164965809277317,-0.16941316666666664,0.0013811072973041062
150,negative_action,0.19146666666666667,0.002506524818681559,0.4429666666666667,0.0014193895401427307,3.1,0.0063245553203367996,-0.211083,0.0018424163481688962
150,oracle_future,1.0,0.0,1.0,0.0,1.0,0.0,0.12447000000000001,0.0015886759266760463
150,random_action,0.2229833333333333,0.0026490878933449202,0.4725,0.001401427843308395,2.9433333333333334,0.005163977794943393,-0.16782233333333332,0.0014488111908273825
150,shuffled_prediction,0.21685,0.0030755487315274224,0.46964999999999996,0.00220340645365307,2.941666666666667,0.009831920802501752,-0.10504233333333333,0.0010034368274419022
150,zero_action,0.22161666666666668,0.002452277852664057,0.4718166666666666,0.0014274686219551878,2.9450000000000003,0.0054772255750517255,-0.16662583333333333,0.0014147035614101942
200,clean_action,0.2977166666666667,0.0021442170288165086,0.53945,0.0019107590114925185,2.5933333333333333,0.008164965809277249,-0.09815866666666667,0.0017136650392263547
200,current_embedding,0.23473333333333335,0.0017772638145944135,0.48111666666666664,0.0015638627390748272,2.9033333333333338,0.00816496580927737,-0.15637716666666665,0.001780763815520369
200,negative_action,0.19691666666666666,0.000870440501508676,0.44501666666666667,0.0011426577206962096,3.1033333333333335,0.008164965809277301,-0.19980316666666664,0.0018940214799908295
200,oracle_future,1.0,0.0,1.0,0.0,1.0,0.0,0.12034066666666667,0.0010832290001041634
200,random_action,0.23429999999999998,0.0014859340496805348,0.4809833333333333,0.001032311322550844,2.901666666666667,0.007527726527090926,-0.15484566666666666,0.0016836816405326265
200,shuffled_prediction,0.22671666666666668,0.0030681699214135253,0.4774833333333333,0.002058559366806468,2.9066666666666667,0.010327955589886353,-0.10099816666666667,0.0011767107404399204
200,zero_action,0.23375,0.0015096357176484654,0.48075,0.0011467344941179726,2.9033333333333338,0.008164965809277423,-0.1537385,0.0017660550104682438
