mode,system,top1_mean,top1_std,mrr_mean,mrr_std,mean_rank_mean,mean_rank_std,margin_mean,margin_std
oriented,clean_action,0.18953333333333333,0.0022686266036231464,0.48933333333333334,0.0008430104783848589,2.6966666666666668,0.008164965809277195,-0.1934678333333333,0.004271273272300277
oriented,current_embedding,0.18886666666666665,0.0029138748543248473,0.46271666666666667,0.0015841927492154211,2.9233333333333333,0.0051639777949432815,-0.27536733333333335,0.006490254591822009
oriented,negative_action,0.1877,0.0033148152286364405,0.4425333333333333,0.002216002406737557,3.1016666666666666,0.009831920802501809,-0.302405,0.006995514448559152
oriented,oracle_future,0.8237,0.005370661039388052,0.9044333333333334,0.0029864136797615134,1.2233333333333334,0.008164965809277265,0.2474885,0.004937299616186961
oriented,random_action,0.18836666666666668,0.002964905844485897,0.4626333333333334,0.0017783887838902477,2.921666666666667,0.0040824829046386,-0.2696483333333333,0.00622370756596635
oriented,shuffled_prediction,0.1913,0.007234085982347733,0.45625,0.005298207243964691,2.9466666666666668,0.024221202832779908,-0.14028233333333331,0.004792991077257153
oriented,zero_action,0.18853333333333333,0.0028528348474222403,0.4625166666666667,0.0017197868084930389,2.9233333333333333,0.008164965809277353,-0.27102149999999997,0.0063026064052898
weak,clean_action,0.24066666666666667,0.008908123633328548,0.49605000000000005,0.006571681672144513,2.7816666666666663,0.025625508125043352,-0.13673349999999998,0.005709335259029728
weak,current_embedding,0.2029,0.008551724972191293,0.46021666666666666,0.006281215381330806,2.98,0.026832815729997322,-0.1950705,0.006684516040821507
weak,negative_action,0.1799666666666667,0.0060773897905817,0.4395166666666667,0.004824693427220706,3.0883333333333334,0.023166067138525363,-0.22973066666666667,0.007046905949895079
weak,oracle_future,0.9625,0.002487569094517772,0.9802333333333334,0.0014207978978963483,1.0433333333333332,0.00516397779494321,0.134439,0.004455315925947339
weak,random_action,0.20223333333333335,0.007651840737147282,0.4599166666666667,0.005669362104034857,2.9766666666666666,0.024221202832779887,-0.19247066666666668,0.006357355257232893
weak,shuffled_prediction,0.19776666666666667,0.00576668593445721,0.4563833333333333,0.005030871362563992,2.9933333333333336,0.024221202832779894,-0.11005833333333333,0.0028736023153294304
weak,zero_action,0.20263333333333333,0.008610149050200388,0.4600666666666667,0.006247772936548416,2.981666666666667,0.026394443859772077,-0.19191666666666665,0.0068244231306878065
