mode,dist,seed,system,top1,mrr,mean_rank,margin
weak,200,0,clean_action,0.2962,0.5379,2.6,-0.097668
weak,200,0,zero_action,0.2323,0.4797,2.91,-0.153447
weak,200,0,negative_action,0.1974,0.4447,3.11,-0.199259
weak,200,0,random_action,0.2328,0.4794,2.91,-0.154793
weak,200,0,shuffled_prediction,0.2313,0.4808,2.89,-0.098896
weak,200,1,oracle_future,1.0,1.0,1.0,0.120615
weak,200,1,current_embedding,0.234,0.4808,2.9,-0.156252
weak,200,1,clean_action,0.2962,0.539,2.59,-0.098744
weak,200,1,zero_action,0.2341,0.4809,2.9,-0.153673
weak,200,1,negative_action,0.1971,0.4457,3.1,-0.199587
weak,200,1,random_action,0.2343,0.4814,2.9,-0.154825
weak,200,1,shuffled_prediction,0.2273,0.4775,2.91,-0.102114
weak,200,2,oracle_future,1.0,1.0,1.0,0.120474
weak,200,2,current_embedding,0.2376,0.4824,2.9,-0.156573
weak,200,2,clean_action,0.2984,0.5388,2.6,-0.098638
weak,200,2,zero_action,0.2361,0.4818,2.91,-0.154021
weak,200,2,negative_action,0.1967,0.4443,3.11,-0.199672
weak,200,2,random_action,0.235,0.4814,2.9,-0.155192
weak,200,2,shuffled_prediction,0.2236,0.4752,2.92,-0.10126
weak,200,3,oracle_future,1.0,1.0,1.0,0.120181
weak,200,3,current_embedding,0.2345,0.4801,2.91,-0.156137
weak,200,3,clean_action,0.3007,0.5411,2.59,-0.097594
weak,200,3,zero_action,0.2339,0.4799,2.91,-0.153561
weak,200,3,negative_action,0.1954,0.4439,3.11,-0.199628
weak,200,3,random_action,0.2368,0.4818,2.91,-0.154507
weak,200,3,shuffled_prediction,0.2259,0.4774,2.9,-0.100592
weak,200,4,oracle_future,1.0,1.0,1.0,0.118547
weak,200,4,current_embedding,0.2358,0.4836,2.89,-0.153762
weak,200,4,clean_action,0.2995,0.5424,2.58,-0.095551
weak,200,4,zero_action,0.2342,0.4824,2.89,-0.151093
weak,200,4,negative_action,0.198,0.447,3.09,-0.197423
weak,200,4,random_action,0.234,0.4819,2.89,-0.152239
weak,200,4,shuffled_prediction,0.2234,0.4755,2.91,-0.101124
weak,200,5,oracle_future,1.0,1.0,1.0,0.121931
weak,200,5,current_embedding,0.2324,0.4795,2.91,-0.159355
weak,200,5,clean_action,0.2953,0.5375,2.6,-0.100757
weak,200,5,zero_action,0.2319,0.4798,2.9,-0.156636
weak,200,5,negative_action,0.1969,0.4445,3.1,-0.20325
weak,200,5,random_action,0.2329,0.48,2.9,-0.157518
weak,200,5,shuffled_prediction,0.2288,0.4785,2.91,-0.102003
weak,50,0,oracle_future,1.0,1.0,1.0,0.12833
weak,50,0,current_embedding,0.2362,0.4796,2.93,-0.197766
weak,50,0,clean_action,0.2637,0.5039,2.81,-0.155081
weak,50,0,zero_action,0.2365,0.4795,2.93,-0.194663
weak,50,0,negative_action,0.2239,0.4689,2.98,-0.217373
weak,50,0,random_action,0.2373,0.48,2.93,-0.195876
weak,50,0,shuffled_prediction,0.2259,0.4772,2.91,-0.109382
weak,50,1,oracle_future,1.0,1.0,1.0,0.134571
weak,50,1,current_embedding,0.2372,0.4805,2.92,-0.198423
weak,50,1,clean_action,0.2637,0.5039,2.8,-0.156324
weak,50,1,zero_action,0.2366,0.4805,2.92,-0.195386
weak,50,1,negative_action,0.2264,0.4711,2.97,-0.217874
weak,50,1,random_action,0.2357,0.4801,2.92,-0.196501
weak,50,1,shuffled_prediction,0.2253,0.4769,2.91,-0.109157
weak,50,2,oracle_future,1.0,1.0,1.0,0.124975
weak,50,2,current_embedding,0.2435,0.485,2.91,-0.195603
weak,50,2,clean_action,0.2703,0.5087,2.78,-0.153952
weak,50,2,zero_action,0.2429,0.4846,2.91,-0.192916
weak,50,2,negative_action,0.23,0.4732,2.96,-0.215443
weak,50,2,random_action,0.2424,0.4845,2.91,-0.19372
weak,50,2,shuffled_prediction,0.2278,0.4787,2.91,-0.109245
weak,50,3,oracle_future,1.0,1.0,1.0,0.129047
weak,50,3,current_embedding,0.2373,0.4817,2.92,-0.202504
weak,50,3,clean_action,0.2633,0.5045,2.8,-0.159183
weak,50,3,zero_action,0.2381,0.4819,2.92,-0.199392
weak,50,3,negative_action,0.2249,0.4707,2.97,-0.222382
weak,50,3,random_action,0.2378,0.4818,2.92,-0.200442
weak,50,3,shuffled_prediction,0.2252,0.4773,2.91,-0.110042
weak,50,4,oracle_future,1.0,1.0,1.0,0.131779
weak,50,4,current_embedding,0.2347,0.4785,2.93,-0.204149
weak,50,4,clean_action,0.2603,0.5016,2.81,-0.160855
weak,50,4,zero_action,0.2358,0.4792,2.93,-0.200967
weak,50,4,negative_action,0.2235,0.4687,2.98,-0.224213
weak,50,4,random_action,0.2355,0.4792,2.93,-0.20193
weak,50,4,shuffled_prediction,0.2264,0.4766,2.92,-0.109205
weak,50,5,oracle_future,1.0,1.0,1.0,0.133108
weak,50,5,current_embedding,0.2348,0.479,2.93,-0.202051
weak,50,5,clean_action,0.2578,0.5004,2.81,-0.159644
weak,50,5,zero_action,0.2368,0.48,2.93,-0.199101
weak,50,5,negative_action,0.2237,0.4686,2.98,-0.222016
weak,50,5,random_action,0.2347,0.4788,2.93,-0.199482
weak,50,5,shuffled_prediction,0.2198,0.4741,2.92,-0.10838
