lambda,variant,model,top1,latency_ms_b128,relative_latency,checkpoint_mb,params,utility,same_action_diff_state_win,same_state_diff_action_win
0.02,"2-block, H=72",Small,0.929087,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9250666216212781,0.953125,0.985577
0.02,"2-block, H=72",Medium,0.955529,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.9478762578285986,0.97476,0.986779
0.02,"2-block, H=72",Full,0.97476,3.443699795752764,1.0,21.48245429992676,5627136,0.9547599999999999,0.986779,0.986779
0.02,"2-block, V=1.8",Tiny,0.994924,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.9911977521143528,1.0,0.997462
0.02,"2-block, V=1.8",Small,0.98731,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9832896216212781,0.992386,0.998731
0.02,"2-block, V=1.8",Medium,0.979695,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.9720422578285987,0.988579,0.997462
0.02,"2-block, V=1.8",Full,0.994924,3.443699795752764,1.0,21.48245429992676,5627136,0.974924,0.998731,0.998731
0.02,"3-block, H=36",Tiny,0.894866,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.8911397521143528,0.933985,0.991443
0.02,"3-block, H=36",Small,0.897311,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.893290621621278,0.93643,0.99511
0.02,"3-block, H=36",Medium,0.863081,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8554282578285987,0.9022,0.984108
0.02,"3-block, H=36",Full,0.828851,3.443699795752764,1.0,21.48245429992676,5627136,0.808851,0.863081,0.979218
0.02,"3-block, H=48",Tiny,0.868159,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.8644327521143528,0.909204,0.992537
0.02,"3-block, H=48",Small,0.853234,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8492136216212781,0.896766,0.997512
0.02,"3-block, H=48",Medium,0.883085,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8754322578285987,0.916667,0.995025
0.02,"3-block, H=48",Full,0.840796,3.443699795752764,1.0,21.48245429992676,5627136,0.820796,0.879353,0.992537
0.02,"3-block, H=72",Tiny,0.815981,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.8122547521143527,0.868039,0.992736
0.02,"3-block, H=72",Small,0.731235,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.727214621621278,0.786925,0.991525
0.02,"3-block, H=72",Medium,0.842615,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8349622578285987,0.887409,0.979419
0.02,"3-block, H=72",Full,0.818402,3.443699795752764,1.0,21.48245429992676,5627136,0.798402,0.857143,0.976998
0.05,"2-block, H=72",Tiny,0.953125,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.943809380285882,0.96875,0.986779
0.05,"2-block, H=72",Small,0.929087,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9190360540531952,0.953125,0.985577
0.05,"2-block, H=72",Medium,0.955529,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.9363971445714968,0.97476,0.986779
0.05,"2-block, H=72",Full,0.97476,3.443699795752764,1.0,21.48245429992676,5627136,0.9247599999999999,0.986779,0.986779
0.05,"2-block, V=1.8",Tiny,0.994924,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.985608380285882,1.0,0.997462
0.05,"2-block, V=1.8",Small,0.98731,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9772590540531952,0.992386,0.998731
0.05,"2-block, V=1.8",Medium,0.979695,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.9605631445714968,0.988579,0.997462
0.05,"2-block, V=1.8",Full,0.994924,3.443699795752764,1.0,21.48245429992676,5627136,0.944924,0.998731,0.998731
0.05,"3-block, H=36",Tiny,0.894866,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.8855503802858821,0.933985,0.991443
0.05,"3-block, H=36",Small,0.897311,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8872600540531952,0.93643,0.99511
0.05,"3-block, H=36",Medium,0.863081,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8439491445714968,0.9022,0.984108
0.05,"3-block, H=36",Full,0.828851,3.443699795752764,1.0,21.48245429992676,5627136,0.778851,0.863081,0.979218
0.05,"3-block, H=48",Tiny,0.868159,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.858843380285882,0.909204,0.992537
0.05,"3-block, H=48",Small,0.853234,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8431830540531953,0.896766,0.997512
0.05,"3-block, H=48",Medium,0.883085,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8639531445714969,0.916667,0.995025
0.05,"3-block, H=48",Full,0.840796,3.443699795752764,1.0,21.48245429992676,5627136,0.7907959999999999,0.879353,0.992537
0.05,"3-block, H=72",Tiny,0.815981,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.806665380285882,0.868039,0.992736
0.05,"3-block, H=72",Small,0.731235,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.7211840540531952,0.786925,0.991525
0.05,"3-block, H=72",Medium,0.842615,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8234831445714969,0.887409,0.979419
0.05,"3-block, H=72",Full,0.818402,3.443699795752764,1.0,21.48245429992676,5627136,0.7684019999999999,0.857143,0.976998
0.1,"2-block, H=72",Tiny,0.953125,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.934493760571764,0.96875,0.986779
0.1,"2-block, H=72",Small,0.929087,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9089851081063904,0.953125,0.985577
0.1,"2-block, H=72",Medium,0.955529,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.9172652891429935,0.97476,0.986779
0.1,"2-block, H=72",Full,0.97476,3.443699795752764,1.0,21.48245429992676,5627136,0.87476,0.986779,0.986779
0.1,"2-block, V=1.8",Tiny,0.994924,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.9762927605717641,1.0,0.997462
0.1,"2-block, V=1.8",Small,0.98731,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9672081081063905,0.992386,0.998731
0.1,"2-block, V=1.8",Medium,0.979695,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.9414312891429936,0.988579,0.997462
0.1,"2-block, V=1.8",Full,0.994924,3.443699795752764,1.0,21.48245429992676,5627136,0.894924,0.998731,0.998731
