variant,Tiny_top1,Tiny_lat,Small_top1,Small_lat,Medium_top1,Medium_lat,Full_top1,Full_lat
"3-block, H=36",0.894866,0.18631239428236,0.897311,0.2010189189360956,0.863081,0.382637108570064,0.828851,1.0
"3-block, H=48",0.868159,0.18631239428236,0.853234,0.2010189189360956,0.883085,0.382637108570064,0.840796,1.0
"3-block, H=72",0.815981,0.18631239428236,0.731235,0.2010189189360956,0.842615,0.382637108570064,0.818402,1.0
