lambda,heldout,variant_label,method,utility,ci95_low,ci95_high,route_rate,n
0.1,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-confidence,0.015158924205378975,-0.0070965770171149125,0.03765281173594132,,409
0.1,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-context_cls,-0.008068459657701713,-0.029590464547677265,0.012720048899755525,,409
0.1,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-context_cls,-0.0004889975550122253,-0.019077017114914427,0.018337408312958436,,409
0.1,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-cheap,-0.02078239608801956,-0.043282396088019565,0.0009779951100244474,,409
0.1,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-cheap,-0.013202933985330075,-0.0332518337408313,0.00684596577017115,,409
0.2,block3_h36_seed13,"3-block, H=36",cheap,0.8973105134474327,0.8655256723716381,0.9242053789731052,0.0,409
0.2,block3_h36_seed13,"3-block, H=36",full,0.6288508557457212,0.5921760391198043,0.663080684596577,1.0,409
0.2,block3_h36_seed13,"3-block, H=36",confidence,0.8552567237163814,0.8195599022004891,0.8894865525672372,0.13691931540342298,409
0.2,block3_h36_seed13,"3-block, H=36",context_cls,0.8836185819070904,0.849877750611247,0.9144254278728606,0.019559902200488997,409
0.2,block3_h36_seed13,"3-block, H=36",knn_context,0.8801955990220048,0.8459657701711492,0.9114914425427874,0.08557457212713937,409
0.2,block3_h36_seed13,"3-block, H=36",rh_context,0.8777506112469438,0.8440097799511004,0.9095354523227384,0.03667481662591687,409
0.2,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8816625916870416,0.8493887530562348,0.9134474327628362,0.07823960880195599,409
0.2,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8787286063569681,0.8464547677261615,0.9090586797066015,0.09290953545232274,409
0.2,block3_h36_seed13,"3-block, H=36",oracle,0.9325183374083129,0.9080684596577018,0.954523227383863,0.044009779951100246,409
0.2,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-knn_context,0.0014669926650366742,-0.01613691931540342,0.019559902200488997,,409
0.2,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-rh_context,0.0009779951100244524,-0.01515892420537897,0.018092909535452322,,409
0.2,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-confidence,0.02640586797066014,0.002444987775061124,0.051833740831295834,,409
0.2,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-confidence,0.02347188264058679,-0.0024449877750611247,0.04938875305623471,,409
0.2,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-context_cls,-0.001955990220048896,-0.02200488997555012,0.019083129584352126,,409
0.2,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-context_cls,-0.004889975550122246,-0.025427872860635692,0.015158924205378973,,409
0.2,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-cheap,-0.015647921760391193,-0.035207823960880194,0.002444987775061127,,409
0.2,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-cheap,-0.018581907090464544,-0.03814180929095354,-0.0009779951100244468,,409
0.3,block3_h36_seed13,"3-block, H=36",cheap,0.8973105134474327,0.8679706601466992,0.9242053789731052,0.0,409
0.3,block3_h36_seed13,"3-block, H=36",full,0.5288508557457213,0.49211491442542793,0.5655256723716382,1.0,409
0.3,block3_h36_seed13,"3-block, H=36",confidence,0.8877750611246944,0.8555012224938876,0.9171149144254279,0.007334963325183374,409
0.3,block3_h36_seed13,"3-block, H=36",context_cls,0.8816625916870416,0.8486491442542788,0.9119926650366749,0.019559902200488997,409
0.3,block3_h36_seed13,"3-block, H=36",knn_context,0.8872860635696821,0.8542726161369193,0.9166381418092909,0.017114914425427872,409
0.3,block3_h36_seed13,"3-block, H=36",rh_context,0.8833740831295844,0.8506112469437652,0.9151650366748167,0.022004889975550123,409
0.3,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8738386308068459,0.8400977995110025,0.9053850855745722,0.07823960880195599,409
0.3,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.882640586797066,0.8493887530562346,0.9129584352078239,0.0488997555012225,409
0.3,block3_h36_seed13,"3-block, H=36",oracle,0.928117359413203,0.9046454767726161,0.9498777506112469,0.044009779951100246,409
0.3,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-knn_context,-0.013447432762836189,-0.03252444987775061,0.00415647921760391,,409
0.3,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-rh_context,-0.0007334963325183392,-0.019315403422982887,0.018581907090464547,,409
0.3,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-confidence,-0.01393643031784841,-0.03496332518337408,0.006845965770171146,,409
0.3,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-confidence,-0.0051344743276283645,-0.023477995110024453,0.012964547677261637,,409
0.3,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-context_cls,-0.007823960880195602,-0.0293398533007335,0.012720048899755525,,409
0.3,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-context_cls,0.0009779951100244494,-0.01687041564792176,0.018337408312958436,,409
0.3,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-cheap,-0.023471882640586802,-0.04451100244498778,-0.005378973105134478,,409
0.3,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-cheap,-0.014669926650366748,-0.030562347188264057,-0.0007334963325183403,,409
0.5,block3_h36_seed13,"3-block, H=36",cheap,0.8973105134474327,0.8655256723716381,0.9266503667481663,0.0,409
0.5,block3_h36_seed13,"3-block, H=36",full,0.32885085574572126,0.2921760391198044,0.363080684596577,1.0,409
0.5,block3_h36_seed13,"3-block, H=36",confidence,0.8973105134474327,0.8655256723716381,0.9242053789731052,0.0,409
0.5,block3_h36_seed13,"3-block, H=36",context_cls,0.8838630806845966,0.8520782396088019,0.9144254278728606,0.012224938875305624,409
0.5,block3_h36_seed13,"3-block, H=36",knn_context,0.8973105134474327,0.8679706601466992,0.9266503667481663,0.0,409
0.5,block3_h36_seed13,"3-block, H=36",rh_context,0.8973105134474327,0.8679706601466992,0.924266503667482,0.0,409
0.5,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8838630806845966,0.8520782396088019,0.9144254278728606,0.02689486552567237,409
0.5,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8838630806845966,0.8520782396088019,0.9144254278728606,0.02689486552567237,409
0.5,block3_h36_seed13,"3-block, H=36",oracle,0.9193154034229829,0.8948655256723717,0.9425427872860636,0.044009779951100246,409
0.5,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-knn_context,-0.013447432762836185,-0.028117359413202935,-0.0024449877750611247,,409
0.5,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-rh_context,-0.013447432762836185,-0.02689486552567237,-0.0024449877750611247,,409
0.5,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-confidence,-0.013447432762836185,-0.02689486552567237,-0.0024449877750611247,,409
0.5,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-confidence,-0.013447432762836185,-0.028117359413202935,-0.0024449877750611247,,409
0.5,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-context_cls,0.0,-0.017114914425427872,0.018337408312958436,,409
0.5,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-context_cls,0.0,-0.017114914425427872,0.018337408312958436,,409
0.5,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-cheap,-0.013447432762836185,-0.02689486552567237,-0.0024449877750611247,,409
0.5,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-cheap,-0.013447432762836185,-0.02689486552567237,-0.0024449877750611247,,409
0.02,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.8159203980099502,0.8855721393034826,0.0,402
0.02,block3_h48_seed10,"3-block, H=48",full,0.8207960199004976,0.7834825870646767,0.8556218905472638,1.0,402
0.02,block3_h48_seed10,"3-block, H=48",confidence,0.8629353233830845,0.8300995024875623,0.8955721393034826,0.13681592039800994,402
0.02,block3_h48_seed10,"3-block, H=48",context_cls,0.8618905472636816,0.8272636815920398,0.8942288557213931,0.06467661691542288,402
0.02,block3_h48_seed10,"3-block, H=48",knn_context,0.8662189054726369,0.8335310945273633,0.8966691542288557,0.09701492537313433,402
0.02,block3_h48_seed10,"3-block, H=48",rh_context,0.8709452736318408,0.8380559701492537,0.9030858208955224,0.10945273631840796,402
0.02,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8659203980099504,0.8309937810945275,0.8987077114427862,0.236318407960199,402
0.02,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8686069651741295,0.8353109452736318,0.8993557213930348,0.2263681592039801,402
0.02,block3_h48_seed10,"3-block, H=48",oracle,0.914179104477612,0.8866666666666668,0.9411467661691543,0.06218905472636816,402
0.02,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-knn_context,-0.00029850746268656966,-0.01527363184079602,0.01612313432835822,,402
0.02,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-rh_context,-0.002338308457711445,-0.019950248756218904,0.015327114427860711,,402
0.02,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-confidence,0.00298507462686567,-0.014677860696517414,0.020598258706467663,,402
0.02,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-confidence,0.005671641791044775,-0.012842039800995025,0.025175373134328365,,402
0.02,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-context_cls,0.0040298507462686525,-0.018110696517412938,0.025722636815920397,,402
0.02,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-context_cls,0.006716417910447757,-0.015324626865671645,0.028757462686567165,,402
0.02,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-cheap,0.012686567164179098,-0.009900497512437816,0.037315920398009954,,402
0.02,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-cheap,0.015373134328358204,-0.006866915422885576,0.03781094527363184,,402
0.05,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.818407960199005,0.8855721393034826,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",full,0.7907960199004974,0.7534825870646765,0.8256218905472636,1.0,402
0.05,block3_h48_seed10,"3-block, H=48",confidence,0.8681592039800995,0.8340764925373133,0.9014925373134328,0.09950248756218906,402
0.05,block3_h48_seed10,"3-block, H=48",context_cls,0.8599502487562188,0.8274875621890546,0.8940360696517413,0.06467661691542288,402
0.05,block3_h48_seed10,"3-block, H=48",knn_context,0.8633084577114428,0.8298507462686567,0.8961473880597015,0.09701492537313433,402
0.05,block3_h48_seed10,"3-block, H=48",rh_context,0.8664179104477612,0.8315889303482586,0.8983830845771144,0.0845771144278607,402
0.05,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8667910447761193,0.8338308457711443,0.8996268656716417,0.12686567164179105,402
0.05,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8635572139303483,0.8287313432835822,0.8970180348258707,0.1417910447761194,402
0.05,block3_h48_seed10,"3-block, H=48",oracle,0.9123134328358209,0.8844527363184078,0.9376896766169155,0.06218905472636816,402
0.05,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-knn_context,0.0034825870646766157,-0.012064676616915421,0.020522388059701493,,402
0.05,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-rh_context,-0.002860696517412937,-0.01902985074626866,0.014179104477611936,,402
0.05,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-confidence,-0.0013681592039801016,-0.01953047263681592,0.01766169154228855,,402
0.05,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-confidence,-0.004601990049751246,-0.019281716417910454,0.009825870646766167,,402
0.05,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-context_cls,0.006840796019900495,-0.01293532338308458,0.02661691542288557,,402
0.05,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-context_cls,0.0036069651741293513,-0.015923507462686573,0.024004975124378103,,402
0.05,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-cheap,0.013557213930348255,-0.005351368159203984,0.03296330845771145,,402
0.05,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-cheap,0.01032338308457711,-0.008706467661691548,0.03022699004975125,,402
0.1,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.8159203980099502,0.8880597014925373,0.0,402
0.1,block3_h48_seed10,"3-block, H=48",full,0.7407960199004977,0.7059701492537315,0.7756218905472638,1.0,402
0.1,block3_h48_seed10,"3-block, H=48",confidence,0.8619402985074627,0.827860696517413,0.8942848258706468,0.08706467661691543,402
0.1,block3_h48_seed10,"3-block, H=48",context_cls,0.8567164179104477,0.8233768656716418,0.8893034825870647,0.06467661691542288,402
0.1,block3_h48_seed10,"3-block, H=48",knn_context,0.8512437810945274,0.8159203980099502,0.8860758706467662,0.04477611940298507,402
0.1,block3_h48_seed10,"3-block, H=48",rh_context,0.8507462686567164,0.8146766169154229,0.884832089552239,0.024875621890547265,402
0.1,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8604477611940299,0.8268594527363184,0.8932835820895523,0.12686567164179105,402
0.1,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8557213930348259,0.8201492537313434,0.889060945273632,0.09950248756218906,402
0.1,block3_h48_seed10,"3-block, H=48",oracle,0.9092039800995025,0.8818345771144279,0.9353233830845771,0.06218905472636816,402
0.1,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-knn_context,0.009203980099502488,-0.008955223880597014,0.02786069651741294,,402
0.1,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-rh_context,0.004975124378109453,-0.01218905472636816,0.021896766169154255,,402
0.1,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-confidence,-0.001492537313432836,-0.01766791044776119,0.01417910447761194,,402
0.1,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-confidence,-0.006218905472636817,-0.018656716417910446,0.0052238805970149255,,402
0.1,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-context_cls,0.0037313432835820895,-0.01616915422885572,0.0236318407960199,,402
0.1,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-context_cls,-0.0009950248756218892,-0.0194092039800995,0.017164179104477612,,402
0.1,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-cheap,0.007213930348258706,-0.011194029850746271,0.025870646766169157,,402
0.1,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-cheap,0.0024875621890547263,-0.014676616915422887,0.019900497512437807,,402
0.2,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.8159203980099502,0.8855721393034826,0.0,402
0.2,block3_h48_seed10,"3-block, H=48",full,0.6407960199004974,0.6034825870646765,0.6756218905472636,1.0,402
0.2,block3_h48_seed10,"3-block, H=48",confidence,0.8492537313432836,0.8129228855721393,0.8845771144278608,0.04477611940298507,402
0.2,block3_h48_seed10,"3-block, H=48",context_cls,0.8502487562189055,0.8144278606965175,0.8835820895522388,0.06467661691542288,402
0.2,block3_h48_seed10,"3-block, H=48",knn_context,0.854228855721393,0.818905472636816,0.8870646766169155,0.007462686567164179,402
0.2,block3_h48_seed10,"3-block, H=48",rh_context,0.853731343283582,0.818407960199005,0.8870646766169153,0.009950248756218905,402
0.2,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8477611940298507,0.8109452736318408,0.8810945273631842,0.12686567164179105,402
0.2,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8477611940298506,0.8124378109452737,0.8825995024875624,0.05223880597014925,402
0.2,block3_h48_seed10,"3-block, H=48",oracle,0.9029850746268657,0.8756218905472637,0.928855721393035,0.06218905472636816,402
0.2,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-knn_context,-0.006467661691542286,-0.023893034825870636,0.012437810945273636,,402
0.2,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-rh_context,-0.005970149253731343,-0.01890547263681592,0.00646766169154229,,402
0.2,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-confidence,-0.0014925373134328335,-0.01991293532338308,0.016927860696517465,,402
0.2,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-confidence,-0.001492537313432836,-0.014925373134328358,0.012935323383084575,,402
0.2,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-context_cls,-0.002487562189054724,-0.022885572139303482,0.016915422885572143,,402
0.2,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-context_cls,-0.0024875621890547268,-0.01990049751243781,0.01343283582089552,,402
0.2,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-cheap,-0.005472636815920394,-0.024875621890547258,0.012935323383084582,,402
0.2,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-cheap,-0.0054726368159203976,-0.017412935323383085,0.00646766169154229,,402
0.3,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.818407960199005,0.8880597014925373,0.0,402
