lambda,variant,variant_label,cheap_util,full_util,oracle_util,oracle_route,conf_util,conf_route,context_util,context_route,geometry_util,geometry_route,geometry_acc,geometry_minus_context,geometry_minus_cheap,geometry_minus_full,heldout,heldout_label,train_variants
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,0.8970171149144254,0.014669926650366748,0.8973105134474327,0.010073349633251794,-0.00029339853300736074,0.08816625916870413,block3_h36_seed13,"3-block, H=36","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h48_seed10,block3_h72_seed14"
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,0.8965770171149146,0.014669926650366748,0.8973105134474327,0.010513447432762835,-0.0007334963325181798,0.11772616136919334,block3_h36_seed13,"3-block, H=36","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h48_seed10,block3_h72_seed14"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,0.895843520782396,0.014669926650366748,0.8973105134474327,0.011246943765281237,-0.0014669926650366927,0.16699266503667476,block3_h36_seed13,"3-block, H=36","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h48_seed10,block3_h72_seed14"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,0.8943765281173593,0.014669926650366748,0.8973105134474327,0.010757946210268932,-0.0029339853300733854,0.26552567237163804,block3_h36_seed13,"3-block, H=36","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h48_seed10,block3_h72_seed14"
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,0.8951100244498779,0.007334963325183374,0.8973105134474327,0.01344743276283622,-0.0022004889975548725,0.36625916870415665,block3_h36_seed13,"3-block, H=36","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h48_seed10,block3_h72_seed14"
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,0.8936430317848411,0.007334963325183374,0.8973105134474327,0.009779951100244433,-0.003667481662591676,0.5647921760391198,block3_h36_seed13,"3-block, H=36","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h48_seed10,block3_h72_seed14"
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,0.8550248756218907,0.03482587064676617,0.8557213930348259,-0.006865671641790971,0.001791044776119577,0.034228855721393225,block3_h48_seed10,"3-block, H=48","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h36_seed13,block3_h72_seed14"
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,0.8539800995024875,0.03482587064676617,0.8557213930348259,-0.005970149253731294,0.0007462686567164534,0.06318407960199013,block3_h48_seed10,"3-block, H=48","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h36_seed13,block3_h72_seed14"
0.1,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7407960199004975,0.9092039800995025,0.06218905472636816,0.8619402985074627,0.08706467661691543,0.8567164179104477,0.06467661691542288,0.8522388059701493,0.03482587064676617,0.8557213930348259,-0.004477611940298387,-0.0009950248756217528,0.11144278606965186,block3_h48_seed10,"3-block, H=48","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h36_seed13,block3_h72_seed14"
0.2,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.6407960199004974,0.9029850746268657,0.06218905472636816,0.8492537313432836,0.04477611940298507,0.8502487562189055,0.06467661691542288,0.854228855721393,0.007462686567164179,0.8557213930348259,0.003980099502487455,0.0009950248756218638,0.21343283582089556,block3_h48_seed10,"3-block, H=48","id_block2_h36_seed0,block2_h72_seed11,block2_v18_seed12,block3_h36_seed13,block3_h72_seed14"
