seed,model,alpha,trajectory_id,samples,identity_error,model_error,improvement_vs_identity,ratio_vs_identity
0,cheap_residual,0.36,neighborhood/Hard/P000,2985,1.3832457065582275,1.3761720657348633,0.007073704153299332,0.9948862195014954
0,cheap_residual,0.36,neighborhood/Hard/P001,2985,1.7681902647018433,1.7561781406402588,0.012012110091745853,0.9932065606117249
0,cheap_residual,0.36,neighborhood/Hard/P002,2985,1.6982983350753784,1.690019130706787,0.008279255591332912,0.9951249957084656
0,cheap_residual,0.36,neighborhood/Hard/P003,2920,1.6178406476974487,1.6075879335403442,0.01025282870978117,0.9936627149581909
0,cheap_residual,0.36,neighborhood/Hard/P004,2985,1.6361275911331177,1.6295549869537354,0.006572673562914133,0.995982825756073
0,cheap_residual,0.36,neighborhood/Hard/P005,2985,1.7782096862792969,1.7687005996704102,0.009509447030723095,0.9946524500846863
0,cheap_residual,0.36,neighborhood/Hard/P006,2875,1.725838541984558,1.7176854610443115,0.008153005503118038,0.9952758550643921
0,cheap_residual,0.36,neighborhood/Hard/P007,2650,1.444736123085022,1.4354404211044312,0.009295754134654999,0.9935657978057861
0,cheap_residual,0.36,neighborhood/Hard/P008,2985,1.456221103668213,1.4510560035705566,0.005164883565157652,0.9964531064033508
0,cheap_residual,0.36,neighborhood/Hard/P009,1490,1.7716904878616333,1.762052297592163,0.009638171643018723,0.9945598840713501
0,cheap_residual,0.36,neighborhood/Hard/P010,2985,1.3450323343276978,1.3389028310775757,0.006129528861492872,0.9954428672790527
0,cheap_residual,0.36,neighborhood/Hard/P011,2985,1.603093147277832,1.5958846807479858,0.007208323571830988,0.9955034255981445
0,cheap_residual,0.36,neighborhood/Hard/P012,2985,1.520764946937561,1.5132850408554077,0.007480011321604252,0.9950814843177795
0,cheap_residual,0.36,neighborhood/Hard/P013,2470,1.6871439218521118,1.6774932146072388,0.009650790132582188,0.9942798614501953
0,cheap_residual,0.36,neighborhood/Hard/P014,2755,1.8206393718719482,1.8091061115264893,0.011533331125974655,0.9936652779579163
0,cheap_residual,0.36,neighborhood/Hard/P015,2985,1.7938584089279175,1.782517433166504,0.011340917088091373,0.9936779141426086
0,cheap_residual,0.36,neighborhood/Hard/P016,2985,1.5751386880874634,1.5704152584075928,0.004723635967820883,0.9970012903213501
0,cheap_residual,0.36,neighborhood/Hard/P017,2985,1.3987083435058594,1.3945518732070923,0.00415651872754097,0.9970283508300781
1,cheap_residual,0.38,neighborhood/Hard/P000,2985,1.3832457065582275,1.3762178421020508,0.007027983665466309,0.9949193000793457
1,cheap_residual,0.38,neighborhood/Hard/P001,2985,1.7681902647018433,1.7580640316009521,0.010126330889761448,0.9942731261253357
1,cheap_residual,0.38,neighborhood/Hard/P002,2985,1.6982983350753784,1.691256046295166,0.007042053621262312,0.9958533048629761
1,cheap_residual,0.38,neighborhood/Hard/P003,2920,1.6178406476974487,1.6093342304229736,0.008506459183990955,0.9947420954704285
1,cheap_residual,0.38,neighborhood/Hard/P004,2985,1.6361275911331177,1.6320302486419678,0.0040974849835038185,0.997495710849762
1,cheap_residual,0.38,neighborhood/Hard/P005,2985,1.7782096862792969,1.769864797592163,0.008345036767423153,0.9953071475028992
1,cheap_residual,0.38,neighborhood/Hard/P006,2875,1.725838541984558,1.7190264463424683,0.006811870262026787,0.9960528612136841
1,cheap_residual,0.38,neighborhood/Hard/P007,2650,1.444736123085022,1.4364967346191406,0.0082393828779459,0.9942969679832458
1,cheap_residual,0.38,neighborhood/Hard/P008,2985,1.456221103668213,1.4516324996948242,0.004588639363646507,0.9968489408493042
1,cheap_residual,0.38,neighborhood/Hard/P009,1490,1.7716904878616333,1.763811469078064,0.00787911657243967,0.9955528378486633
1,cheap_residual,0.38,neighborhood/Hard/P010,2985,1.3450323343276978,1.3398447036743164,0.005187680944800377,0.996143102645874
1,cheap_residual,0.38,neighborhood/Hard/P011,2985,1.603093147277832,1.5964159965515137,0.006676982622593641,0.9958348274230957
1,cheap_residual,0.38,neighborhood/Hard/P012,2985,1.520764946937561,1.5128085613250732,0.00795651599764824,0.9947681427001953
1,cheap_residual,0.38,neighborhood/Hard/P013,2470,1.6871439218521118,1.6786469221115112,0.008497037924826145,0.9949637055397034
1,cheap_residual,0.38,neighborhood/Hard/P014,2755,1.8206393718719482,1.8108080625534058,0.009831158444285393,0.9946000576019287
1,cheap_residual,0.38,neighborhood/Hard/P015,2985,1.7938584089279175,1.7845141887664795,0.009344162419438362,0.9947909712791443
1,cheap_residual,0.38,neighborhood/Hard/P016,2985,1.5751386880874634,1.5717709064483643,0.0033677753526717424,0.997861921787262
1,cheap_residual,0.38,neighborhood/Hard/P017,2985,1.3987083435058594,1.3947703838348389,0.0039378865621984005,0.9971845746040344
2,cheap_residual,0.35,neighborhood/Hard/P000,2985,1.3832457065582275,1.3758645057678223,0.007381271105259657,0.9946638345718384
2,cheap_residual,0.35,neighborhood/Hard/P001,2985,1.7681902647018433,1.757417917251587,0.010772445239126682,0.9939076900482178
2,cheap_residual,0.35,neighborhood/Hard/P002,2985,1.6982983350753784,1.6904561519622803,0.007841960527002811,0.9953823089599609
2,cheap_residual,0.35,neighborhood/Hard/P003,2920,1.6178406476974487,1.6088522672653198,0.008988536894321442,0.9944441914558411
2,cheap_residual,0.35,neighborhood/Hard/P004,2985,1.6361275911331177,1.6287648677825928,0.007362679578363895,0.9954999089241028
