lambda,heldout,variant_label,cheap_util,full_util,oracle_util,oracle_route,conf_util,conf_route,context_cls_util,context_cls_route,geometry_cls_util,geometry_cls_route,ridge_context_util,ridge_context_route,ridge_geometry_util,ridge_geometry_route,tuned_context_util,tuned_context_route,tuned_geometry_util,tuned_geometry_route,best_non_oracle,best_non_oracle_util,ridge_geom_minus_context_cls,tuned_geom_minus_context_cls
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,0.8970171149144254,0.014669926650366748,0.841124694376528,0.3643031784841076,0.8765281173594134,0.18337408312958436,0.8657701711491443,0.23227383863080683,0.890757946210269,0.08312958435207823,cheap,0.8973105134474327,-0.010415647921760196,0.0038141809290954676
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,0.8965770171149146,0.014669926650366748,0.8471882640586798,0.26894865525672373,0.882640586797066,0.097799511002445,0.85880195599022,0.23227383863080683,0.8919315403422983,0.009779951100244499,cheap,0.8973105134474327,-0.0034229828850856903,0.005867970660146549
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,0.895843520782396,0.014669926650366748,0.8572127139364304,0.18092909535452323,0.8929095354523227,0.019559902200488997,0.8515892420537897,0.1882640586797066,0.8968215158924205,0.004889975550122249,cheap,0.8973105134474327,0.008312958435207851,0.012224938875305735
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,0.8943765281173593,0.014669926650366748,0.8801955990220048,0.0488997555012225,0.8973105134474327,0.0,0.8709046454767726,0.09535452322738386,0.8973105134474327,0.0,cheap,0.8973105134474327,0.013691931540342317,0.013691931540342317
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,0.8951100244498779,0.007334963325183374,0.8973105134474327,0.0,0.8973105134474327,0.0,0.8870415647921761,0.009779951100244499,0.8973105134474327,0.0,cheap,0.8973105134474327,0.015647921760391093,0.015647921760391093
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,0.8936430317848411,0.007334963325183374,0.8973105134474327,0.0,0.8973105134474327,0.0,0.8973105134474327,0.0,0.8973105134474327,0.0,cheap,0.8973105134474327,0.013447432762836109,0.013447432762836109
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,0.8550248756218907,0.03482587064676617,0.8702985074626866,0.26616915422885573,0.8472636815920399,0.17412935323383086,0.8664179104477612,0.08706467661691543,0.853084577114428,0.007462686567164179,ridge_context,0.8702985074626866,-0.014626865671641731,-0.008805970149253661
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,0.8539800995024875,0.03482587064676617,0.8643034825870648,0.12686567164179105,0.8498756218905472,0.06716417910447761,0.8638059701492538,0.08706467661691543,0.8532338308457711,0.0,conf,0.8681592039800995,-0.010074626865671621,-0.006716417910447747
0.1,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7407960199004975,0.9092039800995025,0.06218905472636816,0.8619402985074627,0.08706467661691543,0.8567164179104477,0.06467661691542288,0.8522388059701493,0.03482587064676617,0.8574626865671642,0.03233830845771144,0.8527363184079603,0.004975124378109453,0.8537313432835822,0.06965174129353234,0.8532338308457711,0.0,conf,0.8619402985074627,-0.003980099502487455,-0.0034825870646766344
0.2,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.6407960199004974,0.9029850746268657,0.06218905472636816,0.8492537313432836,0.04477611940298507,0.8502487562189055,0.06467661691542288,0.854228855721393,0.007462686567164179,0.8532338308457711,0.0,0.8532338308457711,0.0,0.8572139303482588,0.004975124378109453,0.8532338308457711,0.0,tuned_context,0.8572139303482588,0.0029850746268655914,0.0029850746268655914
0.3,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.5407960199004975,0.8967661691542289,0.06218905472636816,0.8532338308457711,0.0,0.845771144278607,0.04975124378109453,0.8534825870646767,0.007462686567164179,0.8532338308457711,0.0,0.8532338308457711,0.0,0.8549751243781094,0.0024875621890547263,0.8532338308457711,0.0,tuned_context,0.8549751243781094,0.00746268656716409,0.00746268656716409
0.5,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.34079601990049746,0.8843283582089553,0.06218905472636816,0.8532338308457711,0.0,0.8395522388059702,0.04228855721393035,0.8519900497512438,0.007462686567164179,0.8532338308457711,0.0,0.8532338308457711,0.0,0.8532338308457711,0.0,0.8532338308457711,0.0,cheap,0.8532338308457711,0.013681592039800905,0.013681592039800905
0.02,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7984019370460048,0.892590799031477,0.16464891041162227,0.7759322033898306,0.1864406779661017,0.7699273607748185,0.1234866828087167,0.7823244552058112,0.23002421307506055,0.8032929782082326,0.8765133171912833,0.8015012106537532,0.8450363196125908,0.805811138014528,0.8716707021791767,0.8028087167070219,0.7796610169491526,tuned_context,0.805811138014528,0.031573849878934745,0.03288135593220343
0.05,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7684019370460048,0.8876513317191284,0.16464891041162227,0.7703389830508474,0.1864406779661017,0.7662227602905569,0.1234866828087167,0.7754237288135594,0.23002421307506055,0.7834140435835352,0.4576271186440678,0.7814769975786925,0.6900726392251816,0.7711864406779662,0.31476997578692495,0.7779661016949151,0.5665859564164649,ridge_context,0.7834140435835352,0.015254237288135575,0.011743341404358176
0.1,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7184019370460049,0.8794188861985474,0.16464891041162227,0.7561743341404358,0.13801452784503632,0.7547215496368039,0.10411622276029056,0.7639225181598063,0.23002421307506055,0.7481840193704601,0.09685230024213075,0.7624697336561745,0.46246973365617433,0.7508474576271187,0.288135593220339,0.7636803874092012,0.45036319612590797,geometry_cls,0.7639225181598063,0.0077481840193706075,0.008958837772397255
0.2,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.6184019370460048,0.8629539951573849,0.16464891041162227,0.7312348668280871,0.0,0.7443099273607747,0.10411622276029056,0.7409200968523002,0.23002421307506055,0.7312348668280871,0.0,0.7317191283292978,0.31234866828087166,0.738498789346247,0.13317191283292978,0.7278450363196125,0.29539951573849876,context_cls,0.7443099273607747,-0.012590799031476974,-0.016464891041162222
0.3,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.5184019370460049,0.8464891041162228,0.16464891041162227,0.7312348668280871,0.0,0.7278450363196126,0.09200968523002422,0.7179176755447942,0.23002421307506055,0.7312348668280871,0.0,0.716222760290557,0.2033898305084746,0.725181598062954,0.13317191283292978,0.6983050847457628,0.29539951573849876,cheap,0.7312348668280871,-0.011622276029055634,-0.02953995157384981
0.5,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.31840193704600483,0.8135593220338984,0.16464891041162227,0.7312348668280871,0.0,0.7094430992736077,0.09200968523002422,0.6719128329297821,0.23002421307506055,0.7312348668280871,0.0,0.7263922518159807,0.03389830508474576,0.7300242130750605,0.002421307506053269,0.7276029055690073,0.01694915254237288,cheap,0.7312348668280871,0.016949152542372947,0.018159806295399594
