lambda,heldout,variant_label,method,utility,ci95_low,ci95_high,delta_vs_fixed,delta_ci95_low,delta_ci95_high,stable_positive_vs_fixed,oracle_gap,n
0.05,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9313503511685424,0.9072810744332026,0.9531876296080047,0.10786719449050786,,,True,0.0,413
0.05,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.8241486641840946,0.790155286598483,0.8580950997224037,0.0006655075060600115,0.00042782625389572163,0.0009031887582243012,True,0.10720168698444776,413
0.05,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.8316027287081643,0.7956542852207678,0.8656396456337282,0.008119572030130013,-0.0142135975915054,0.030266923544082523,False,0.09974762246037805,413
0.05,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.7799569385209524,0.7418540168435946,0.8168748238438708,-0.043526218157082,-0.07291149195821553,-0.013875440614620758,False,0.15139341264759,413
0.05,block3_h72_seed14,"3-block, H=72",rf_oracle_label,0.8094074432714315,0.7711186785060712,0.845741063515163,-0.014075713406602854,-0.04138705934855775,0.013029780914052384,False,0.12194290789711082,413
0.1,block3_h72_seed14,"3-block, H=72",best_fixed_Medium,0.804351301249531,0.7680316886587321,0.8382496063342768,0.0,0.0,0.0,False,0.11646078123283166,413
0.1,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9208120824823627,0.8968913343273981,0.9425508892709422,0.11646078123283166,,,True,0.0,413
0.1,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.8110478300285191,0.7749183624394516,0.8471321381796757,0.006696528778988008,0.001473623763418605,0.01434074130061068,True,0.10976425245384358,413
0.1,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.8125413251231715,0.7781068596696119,0.8469193283612952,0.008190023873640356,-0.015667272909942485,0.0328273510235677,False,0.10827075735919123,413
0.1,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.7366693249837937,0.7002447889525923,0.7732268574709281,-0.06768197626573769,-0.0972310450312963,-0.03873198555938081,False,0.184142757498569,413
0.1,block3_h72_seed14,"3-block, H=72",rf_oracle_label,0.7955703344847515,0.7562933310534359,0.831828694947164,-0.00878096676477948,-0.03627477068783631,0.019695423771642365,False,0.12524174799761123,413
0.15,block3_h72_seed14,"3-block, H=72",best_fixed_Tiny,0.7880337703975976,0.7492928503007452,0.8219320754823433,0.0,0.0,0.0,False,0.12224004339858596,413
0.15,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9102738137961836,0.8861636720254173,0.9310584465059667,0.12224004339858596,,,True,0.0,413
0.15,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.7984698946277056,0.7620076732856079,0.832296895336802,0.010436124230107783,-0.025740879609392673,0.0468270411965561,False,0.11180391916847798,413
0.15,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.8019681516983755,0.7656413194915351,0.8362751871900661,0.013934381300777817,-0.016261300932556885,0.04498764230951706,False,0.10830566209780801,413
0.15,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.6933817114466342,0.6576465898506368,0.7300759003627902,-0.0946520589509632,-0.13530876601856648,-0.05056208268756845,False,0.21689210234954936,413
0.15,block3_h72_seed14,"3-block, H=72",rf_oracle_label,0.7817332256980718,0.7429056643897914,0.818527245324316,-0.006300544699525835,-0.039278881432238226,0.0286639205308335,False,0.12854058809811175,413
0.2,block3_h72_seed14,"3-block, H=72",best_fixed_Tiny,0.7787181506834794,0.7423985380926803,0.8150377632742783,0.0,0.0,0.0,False,0.12101739442652448,413
0.2,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.8997355451100039,0.8762287541561161,0.9216296974148832,0.12101739442652448,,,True,0.0,413
0.2,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.7810018079643521,0.7453381956295265,0.8157605191819325,0.00228365728087265,-0.03209001030820168,0.03870547281010236,False,0.11873373714565172,413
0.2,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.7863520315835958,0.7499644979584781,0.8209555765888685,0.007633880900116539,-0.023610253748096714,0.03827164691509681,False,0.11338351352640808,413
0.2,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.6500940979094754,0.6131326146455587,0.6873404026939068,-0.12862405277400404,-0.169881486476668,-0.08869850952135347,False,0.2496414472005285,413
0.2,block3_h72_seed14,"3-block, H=72",rf_oracle_label,0.7678961169113916,0.730403249525429,0.8042866214105557,-0.01082203377208769,-0.04625325271984215,0.023011662302754317,False,0.13183942819861227,413
0.3,block3_h72_seed14,"3-block, H=72",best_fixed_Tiny,0.7600869112552435,0.7213459911583913,0.7964065238460426,0.0,0.0,0.0,False,0.11857209648240186,413
0.3,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.8786590077376454,0.8562088758362701,0.9002569662725376,0.11857209648240186,,,True,0.0,413
0.3,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.7553291209400081,0.7194342933370824,0.7887996758025089,-0.0047577903152353105,-0.0396513153930486,0.030709211033794766,False,0.12332988679763723,413
0.3,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.7608287415794952,0.7216801591788644,0.7986114836964117,0.0007418303242515488,-0.02904514421062672,0.030031746581543818,False,0.11783026615815018,413
0.3,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.5635188708351575,0.5237741962775893,0.6012470076751372,-0.19656804042008608,-0.23830335673071124,-0.1545931916370513,False,0.3151401369024879,413
