model,model_dim,layers,heads,params,checkpoint_mb,latency_ms_b1,latency_ms_b128,relative_latency_b128
Tiny,64,1,4,100928,0.3932209014892578,0.5122288130223751,0.6416039541363716,0.18631239428236
Small,128,1,4,299776,1.1517658233642578,0.5091843195259571,0.692248810082674,0.2010189189360956
Medium,192,2,4,1041792,3.986543655395508,0.8021695539355278,1.3176873326301577,0.382637108570064
Full,384,3,6,5627136,21.48245429992676,1.07949273660779,3.443699795752764,1.0
