action,contact_rate,object_disp_mean,object_disp_median,object_disp_p90,pusher_disp_mean
backward,0.25,0.04827379836933687,0.0,0.19529952108860016,0.2540253885090351
forward,0.25,0.04850357834948227,0.0,0.19831441342830658,0.2540093077113852
left,0.25,0.048837507027201355,0.0,0.19954674690961838,0.25399882026249543
right,0.25,0.04876989673357457,0.0,0.1990019902586937,0.2540022017201409
stay,0.0,0.0,0.0,0.0,0.0
