state_id,side,action,gap,tangent_offset,object_mass,object_friction,object_yaw,contact,contact_steps,max_normal_force,object_disp,object_rot,pusher_disp,object_x0,object_y0,object_x1,object_y1,pusher_x0,pusher_y0,pusher_x1,pusher_y1
0,left,stay,0.09426180940652992,-0.08044062775283592,0.348916240609776,0.7366832178908197,-1.5399670335349012,0,0,0.0,7.391111012111651e-07,2.871009984861672e-06,0.0,0.0884881541132927,-0.03857230395078659,0.08848743885755539,-0.03857211768627167,-0.09337227046489716,0.04186829924583435,-0.09337227046489716,0.04186829924583435
0,left,right,0.09426180940652992,-0.08044062775283592,0.348916240609776,0.7366832178908197,-1.5399670335349012,1,76,15.827366249773512,0.1477954089641571,0.06900623336212064,0.24782168865203857,0.0884881541132927,-0.03857230395078659,0.23620600998401642,-0.043359365314245224,-0.09337227046489716,0.04186829924583435,0.15444812178611755,0.04267081618309021
0,left,left,0.09426180940652992,-0.08044062775283592,0.348916240609776,0.7366832178908197,-1.5399670335349012,0,0,0.0,7.391111012111651e-07,2.871009984861672e-06,0.25658851861953735,0.0884881541132927,-0.03857230395078659,0.08848743885755539,-0.03857211768627167,-0.09337227046489716,0.04186829924583435,-0.3499607741832733,0.04186829924583435
0,left,forward,0.09426180940652992,-0.08044062775283592,0.348916240609776,0.7366832178908197,-1.5399670335349012,0,0,0.0,7.391111012111651e-07,2.871009984861672e-06,0.25658848881721497,0.0884881541132927,-0.03857230395078659,0.08848743885755539,-0.03857211768627167,-0.09337227046489716,0.04186829924583435,-0.09337227046489716,0.2984567880630493
0,left,backward,0.09426180940652992,-0.08044062775283592,0.348916240609776,0.7366832178908197,-1.5399670335349012,0,0,0.0,7.391111012111651e-07,2.871009984861672e-06,0.25658848881721497,0.0884881541132927,-0.03857230395078659,0.08848743885755539,-0.03857211768627167,-0.09337227046489716,0.04186829924583435,-0.09337227046489716,-0.21472018957138062
1,right,stay,0.09472429686009841,0.11867983490392273,0.33983867391179073,0.7115229151230028,-0.05131132471066513,0,0,0.0,8.170199521373434e-07,1.7713535437544061e-06,0.0,0.04653170704841614,-0.01564476639032364,0.04653184860944748,-0.01564396172761917,0.2684520483016968,0.10303477942943573,0.2684520483016968,0.10303477942943573
1,right,right,0.09472429686009841,0.11867983490392273,0.33983867391179073,0.7115229151230028,-0.05131132471066513,0,0,0.0,8.170199521373434e-07,1.7713535437544061e-06,0.25658851861953735,0.04653170704841614,-0.01564476639032364,0.04653184860944748,-0.01564396172761917,0.2684520483016968,0.10303477942943573,0.5250405669212341,0.10303477942943573
1,right,left,0.09472429686009841,0.11867983490392273,0.33983867391179073,0.7115229151230028,-0.05131132471066513,0,0,0.0,8.170199521373434e-07,1.7713535437544061e-06,0.25658848881721497,0.04653170704841614,-0.01564476639032364,0.04653184860944748,-0.01564396172761917,0.2684520483016968,0.10303477942943573,0.01186355296522379,0.10303477942943573
1,right,forward,0.09472429686009841,0.11867983490392273,0.33983867391179073,0.7115229151230028,-0.05131132471066513,0,0,0.0,8.170199521373434e-07,1.7713535437544061e-06,0.25658851861953735,0.04653170704841614,-0.01564476639032364,0.04653184860944748,-0.01564396172761917,0.2684520483016968,0.10303477942943573,0.2684520483016968,0.3596232831478119
1,right,backward,0.09472429686009841,0.11867983490392273,0.33983867391179073,0.7115229151230028,-0.05131132471066513,0,0,0.0,8.170199521373434e-07,1.7713535437544061e-06,0.25658848881721497,0.04653170704841614,-0.01564476639032364,0.04653184860944748,-0.01564396172761917,0.2684520483016968,0.10303477942943573,0.2684520483016968,-0.15355370938777924
2,back,stay,0.10949889478523693,-0.025962080982475447,0.33772010775352657,0.8820812978682304,-1.8120220962216718,0,0,0.0,2.0489096641540527e-08,1.9012813545771223e-10,0.0,-0.019397934898734093,0.09828134626150131,-0.019397955387830734,0.09828134626150131,-0.04536035656929016,-0.1445065438747406,-0.04536035656929016,-0.1445065438747406
2,back,right,0.10949889478523693,-0.025962080982475447,0.33772010775352657,0.8820812978682304,-1.8120220962216718,0,0,0.0,2.0489096641540527e-08,1.9012813545771223e-10,0.25658848881721497,-0.019397934898734093,0.09828134626150131,-0.019397955387830734,0.09828134626150131,-0.04536035656929016,-0.1445065438747406,0.2112281322479248,-0.1445065438747406
2,back,left,0.10949889478523693,-0.025962080982475447,0.33772010775352657,0.8820812978682304,-1.8120220962216718,0,0,0.0,2.0489096641540527e-08,1.9012813545771223e-10,0.25658848881721497,-0.019397934898734093,0.09828134626150131,-0.019397955387830734,0.09828134626150131,-0.04536035656929016,-0.1445065438747406,-0.3019488453865051,-0.1445065438747406
2,back,forward,0.10949889478523693,-0.025962080982475447,0.33772010775352657,0.8820812978682304,-1.8120220962216718,1,64,16.337837907291686,0.12703797221183777,0.007639488828709462,0.24765294790267944,-0.019397934898734093,0.09828134626150131,-0.018675504252314568,0.22531725466251373,-0.04536035656929016,-0.1445065438747406,-0.045401979237794876,0.10314640402793884
2,back,backward,0.10949889478523693,-0.025962080982475447,0.33772010775352657,0.8820812978682304,-1.8120220962216718,0,0,0.0,2.0489096641540527e-08,1.9012813545771223e-10,0.25658848881721497,-0.019397934898734093,0.09828134626150131,-0.019397955387830734,0.09828134626150131,-0.04536035656929016,-0.1445065438747406,-0.04536035656929016,-0.40109503269195557
