state_id,side,action,start_dist,object_x0,object_y0,object_x1,object_y1,pusher_x0,pusher_y0,pusher_x1,pusher_y1,object_disp,pusher_disp,contact
0,left,stay,0.17907071836490396,0.05748453736305237,0.06673386693000793,0.05748453736305237,0.06673386693000793,-0.12158617377281189,0.06673386693000793,-0.12158617377281189,0.06673386693000793,0.0,0.0,0
0,left,right,0.17907071836490396,0.05748453736305237,0.06673386693000793,0.2302464246749878,0.06685976684093475,-0.12158617377281189,0.06673386693000793,0.12559248507022858,0.06672723591327667,0.172761932015419,0.24717865884304047,1
0,left,left,0.17907071836490396,0.05748453736305237,0.06673386693000793,0.05748453736305237,0.06673386693000793,-0.12158617377281189,0.06673386693000793,-0.37817466259002686,0.06673386693000793,0.0,0.25658848881721497,0
0,left,forward,0.17907071836490396,0.05748453736305237,0.06673386693000793,0.05748453736305237,0.06673386693000793,-0.12158617377281189,0.06673386693000793,-0.12158617377281189,0.3233223557472229,0.0,0.25658848881721497,0
0,left,backward,0.17907071836490396,0.05748453736305237,0.06673386693000793,0.05748453736305237,0.06673386693000793,-0.12158617377281189,0.06673386693000793,-0.12158617377281189,-0.18985462188720703,0.0,0.25658848881721497,0
1,right,stay,0.16444521623281516,-0.052633289247751236,0.029384668916463852,-0.052633289247751236,0.029384668916463852,0.11181193590164185,0.029384668916463852,0.11181193590164185,0.029384668916463852,0.0,0.0,0
1,right,right,0.16444521623281516,-0.052633289247751236,0.029384668916463852,-0.052633289247751236,0.029384668916463852,0.11181193590164185,0.029384668916463852,0.3684004247188568,0.029384668916463852,0.0,0.25658848881721497,0
1,right,left,0.16444521623281516,-0.052633289247751236,0.029384668916463852,-0.24349471926689148,0.029346909373998642,0.11181193590164185,0.029384668916463852,-0.13455604016780853,0.029386762529611588,0.19086143374443054,0.24636797606945038,1
1,right,forward,0.16444521623281516,-0.052633289247751236,0.029384668916463852,-0.052633289247751236,0.029384668916463852,0.11181193590164185,0.029384668916463852,0.11181193590164185,0.2859731614589691,0.0,0.25658848881721497,0
1,right,backward,0.16444521623281516,-0.052633289247751236,0.029384668916463852,-0.052633289247751236,0.029384668916463852,0.11181193590164185,0.029384668916463852,0.11181193590164185,-0.227203831076622,0.0,0.25658848881721497,0
