action,contact_rate,object_disp_mean,object_disp_median,object_disp_p90,object_rot_mean,contact_steps_mean,force_mean
backward,0.205078125,0.024491824259952423,3.328763256149614e-07,0.12336676344275484,0.016582628486961615,14.0625,2.8548204491265743
forward,0.205078125,0.026027641774081796,3.41451269036952e-07,0.14038628339767462,0.018563466169294038,14.697265625,2.9436297483450784
left,0.203125,0.024815558215850655,3.256201210888321e-07,0.1381680727005005,0.0185244806108305,14.705078125,2.7856942546140164
right,0.2109375,0.025046165972751694,3.27822874623962e-07,0.13810099661350253,0.01909977497932873,14.244140625,3.0490870507288235
stay,0.0,3.3815596975871054e-07,2.0910205478230637e-07,8.064854910116993e-07,8.863473622315796e-07,0.0,0.0
