variant_label,n_queries,all_correct,none_correct,useful_compute,anti_rescue,other_mixed,tiny_wrong_any_other_correct,tiny_correct_full_wrong,full_correct_tiny_wrong,medium_correct_full_wrong,full_correct_medium_wrong,sum_check
"3-block, H=36",1227,0.7677261613691931,0.05297473512632437,0.07090464547677261,0.06682966585167074,0.04156479217603912,0.07090464547677261,0.06682966585167074,0.045639771801140996,0.0488997555012225,0.02526487367563162,1.0
"3-block, H=48",1206,0.7595356550580431,0.0505804311774461,0.09618573797678276,0.05140961857379768,0.04228855721393035,0.09618573797678276,0.05140961857379768,0.07048092868988391,0.04809286898839138,0.03648424543946932,1.0
"3-block, H=72",1239,0.655367231638418,0.0645682001614205,0.12590799031476999,0.08878127522195318,0.06537530266343826,0.12590799031476999,0.08878127522195318,0.08716707021791767,0.06537530266343826,0.04439063761097659,1.0
"2-block, H=72",1248,0.9278846153846154,0.017628205128205128,0.02564102564102564,0.008814102564102564,0.020032051282051284,0.02564102564102564,0.008814102564102564,0.024839743589743588,0.008814102564102564,0.016025641025641024,1.0
"2-block, V=1.8",1182,0.9695431472081218,0.0,0.00676818950930626,0.00676818950930626,0.01692047377326565,0.00676818950930626,0.00676818950930626,0.005922165820642978,0.004230118443316413,0.012690355329949238,1.0
