variant_label,all_correct,none_correct,useful_compute,anti_rescue,mean_oracle_headroom,stable_router_count,mean_router_delta,recommendation
"3-block, H=36",0.7677261613691931,0.05297473512632437,0.0488997555012225,0.05215973920130399,0.06953723512632429,0.0,0.007227120347731583,use fixed best capacity; routing optional
"3-block, H=48",0.7595356550580431,0.0505804311774461,0.06135986733001658,0.0439469320066335,0.07973313640132679,0.0,0.028359042288557165,use fixed best capacity; routing optional
"3-block, H=72",0.655367231638418,0.0645682001614205,0.08393866020984665,0.06537530266343826,0.12014527845036324,0.0,0.01761530804412155,use fixed best capacity; routing optional
"2-block, H=72",0.9278846153846154,0.017628205128205128,0.021634615384615384,0.008814102564102564,0.024653675881410292,,,fixed cheap/medium; limited routing headroom
"2-block, V=1.8",0.9695431472081218,0.0,0.005922165820642978,0.005922165820642978,0.006616825296108214,,,fixed cheap/medium; limited routing headroom
