variant_label,lambda,best_fixed_model,best_fixed_utility,best_fixed_top1,oracle_utility,oracle_headroom
"3-block, H=36",0.0,Medium,0.8785656071719642,0.8785656071719642,0.9470252648736757,0.06845965770171147
"3-block, H=36",0.02,Tiny,0.8724006193969032,0.876120619396903,0.943136968215159,0.07073634881825586
"3-block, H=36",0.05,Tiny,0.866820619396903,0.876120619396903,0.9373045232273839,0.07048390383048087
"3-block, H=36",0.1,Tiny,0.8575206193969032,0.876120619396903,0.927583781581092,0.07006316218418884
"3-block, H=36",0.2,Tiny,0.8389206193969031,0.876120619396903,0.9081422982885085,0.06922167889160535
"3-block, H=36",0.3,Tiny,0.820320619396903,0.876120619396903,0.8887008149959251,0.06838019559902209
"3-block, H=48",0.0,Medium,0.8839137645107794,0.8839137645107794,0.9494195688225538,0.06550580431177444
"3-block, H=48",0.02,Medium,0.8762537645107795,0.8839137645107794,0.9453398175787732,0.06908605306799365
"3-block, H=48",0.05,Medium,0.8647637645107794,0.8839137645107794,0.9392201907131014,0.07445642620232196
"3-block, H=48",0.1,Small,0.847230016583748,0.867330016583748,0.9290208126036485,0.08179079601990058
"3-block, H=48",0.2,Small,0.8271300165837479,0.867330016583748,0.9086220563847427,0.08149203980099484
"3-block, H=48",0.3,Small,0.807030016583748,0.867330016583748,0.8882233001658377,0.08119328358208977
"3-block, H=72",0.0,Medium,0.8288942695722357,0.8288942695722357,0.9354317998385795,0.10653753026634383
"3-block, H=72",0.02,Medium,0.8212342695722357,0.8288942695722357,0.9312954802259888,0.11006121065375318
"3-block, H=72",0.05,Medium,0.8097442695722357,0.8288942695722357,0.9250910008071027,0.11534673123486705
"3-block, H=72",0.1,Tiny,0.7909238095238096,0.8095238095238095,0.9147502017756254,0.1238263922518158
"3-block, H=72",0.2,Tiny,0.7723238095238095,0.8095238095238095,0.8940686037126715,0.12174479418886197
"3-block, H=72",0.3,Tiny,0.7537238095238096,0.8095238095238095,0.8733870056497177,0.11966319612590814
"2-block, H=72",0.0,Full,0.9739583333333334,0.9739583333333334,0.983573717948718,0.009615384615384581
"2-block, H=72",0.02,Medium,0.9590867948717948,0.9667467948717948,0.9797615865384619,0.02067479166666708
"2-block, H=72",0.05,Small,0.9494852564102564,0.9595352564102564,0.974043389423077,0.024558133012820615
"2-block, H=72",0.1,Small,0.9394352564102564,0.9595352564102564,0.9645130608974358,0.025077804487179445
"2-block, H=72",0.2,Tiny,0.9207326923076923,0.9579326923076923,0.9454524038461537,0.02471971153846142
"2-block, H=72",0.3,Tiny,0.9021326923076922,0.9579326923076923,0.9263917467948719,0.024259054487179688
"2-block, V=1.8",0.0,Tiny,0.9932318104906938,0.9932318104906938,1.0,0.006768189509306244
"2-block, V=1.8",0.02,Tiny,0.9895118104906939,0.9932318104906938,0.9962613705583758,0.006749560067681903
"2-block, V=1.8",0.05,Tiny,0.9839318104906937,0.9932318104906938,0.9906534263959391,0.006721615905245448
"2-block, V=1.8",0.1,Tiny,0.9746318104906939,0.9932318104906938,0.981306852791878,0.006675042301184098
"2-block, V=1.8",0.2,Tiny,0.9560318104906939,0.9932318104906938,0.9626137055837563,0.006581895093062395
"2-block, V=1.8",0.3,Tiny,0.9374318104906937,0.9932318104906938,0.9439205583756346,0.006488747884940915
