lambda,heldout,variant_label,cheap,full,oracle,oracle_route,conf,conf_route,context_cls,context_cls_route,router,feature_set,util,route,k,rule,cols
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,rescue_harm,mined_geometry_only,0.880317848410758,0.09535452322738386,15,"thr=0.0667,cap=0.1333","horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac"
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,knn_gain,context_geometry,0.8321515892420538,0.2273838630806846,15,gain_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,uncertainty_x_blocked,uncertainty_x_horizon,uncertainty_x_velocity,margin_x_blocked,best_dist_x_blocked,second_dist_x_blocked,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac,action_1_x_blocked,action_1_x_horizon,action_2_x_blocked,action_2_x_horizon,action_3_x_blocked,action_3_x_horizon,action_4_x_blocked,action_4_x_horizon"
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,rescue_harm,context_geometry,0.8393643031784841,0.2787286063569682,25,"thr=0.0275,cap=0.3500","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,uncertainty_x_blocked,uncertainty_x_horizon,uncertainty_x_velocity,margin_x_blocked,best_dist_x_blocked,second_dist_x_blocked,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac,action_1_x_blocked,action_1_x_horizon,action_2_x_blocked,action_2_x_horizon,action_3_x_blocked,action_3_x_horizon,action_4_x_blocked,action_4_x_horizon"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,knn_gain,uncertainty,0.8442542787286063,0.21271393643031786,15,gain_threshold,"cheap_confidence,cheap_uncertainty"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,rescue_harm,uncertainty,0.8775061124694375,0.12469437652811736,50,"thr=0.1800,cap=0.1200","cheap_confidence,cheap_uncertainty"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,knn_gain,margin,0.8474327628361858,0.22982885085574573,25,tuned_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,rescue_harm,margin,0.8674816625916872,0.1271393643031785,200,"thr=0.0900,cap=0.1050","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,knn_gain,margin_action,0.8579462102689487,0.1491442542787286,15,tuned_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,rescue_harm,margin_action,0.8481662591687041,0.2469437652811736,50,"thr=0.0800,cap=0.2000","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,knn_gain,context,0.8679706601466992,0.1466992665036675,15,gain_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,rescue_harm,context,0.8841075794621027,0.10757946210268948,15,"thr=0.1333,cap=0.1333","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,knn_gain,mined_geometry_only,0.8968215158924205,0.004889975550122249,15,tuned_threshold,"horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,rescue_harm,mined_geometry_only,0.8973105134474327,0.0,15,"thr=0.3333,cap=0.0667","horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,knn_gain,context_geometry,0.8789731051344744,0.061124694376528114,15,tuned_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,uncertainty_x_blocked,uncertainty_x_horizon,uncertainty_x_velocity,margin_x_blocked,best_dist_x_blocked,second_dist_x_blocked,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac,action_1_x_blocked,action_1_x_horizon,action_2_x_blocked,action_2_x_horizon,action_3_x_blocked,action_3_x_horizon,action_4_x_blocked,action_4_x_horizon"
