system,chance,Tiny,Medium,Full
clean_action,0.2,0.9766666666666667,0.9913333333333333,0.9886666666666667
zero_action,0.2,0.2,0.2,0.2
neg_action,0.2,0.15133333333333332,0.15466666666666667,0.15533333333333332
shuffled_action,0.2,0.19533333333333333,0.2,0.192
random_action,0.2,0.21733333333333332,0.218,0.21733333333333332
pred_shuffled,0.2,0.19666666666666666,0.19466666666666665,0.20066666666666666
zero_delta,0.2,0.2,0.2,0.2
