system,chance,Tiny,Medium,Full
clean_action,0.2,0.9673333333333334,0.986,0.9866666666666667
zero_action,0.2,0.2,0.2,0.2
neg_action,0.2,0.148,0.148,0.14066666666666666
shuffled_action,0.2,0.19933333333333333,0.20933333333333334,0.19933333333333333
random_action,0.2,0.20533333333333334,0.21,0.212
pred_shuffled,0.2,0.19933333333333333,0.19733333333333333,0.196
zero_delta,0.2,0.2,0.2,0.2
