system,dims,chance,acc
clean_action,full_state,0.2,0.9906666666666667
clean_action,agent_only,0.2,1.0
clean_action,block_only,0.2,0.5193333333333333
clean_action,block_xy,0.2,0.5186666666666667
clean_action,block_theta,0.2,0.33
zero_action,full_state,0.2,0.2
zero_action,agent_only,0.2,0.2
zero_action,block_only,0.2,0.2
zero_action,block_xy,0.2,0.2
zero_action,block_theta,0.2,0.2
neg_action,full_state,0.2,0.154
neg_action,agent_only,0.2,0.154
neg_action,block_only,0.2,0.196
neg_action,block_xy,0.2,0.196
neg_action,block_theta,0.2,0.20533333333333334
shuffled_action,full_state,0.2,0.19866666666666666
shuffled_action,agent_only,0.2,0.19533333333333333
shuffled_action,block_only,0.2,0.21933333333333332
shuffled_action,block_xy,0.2,0.21933333333333332
shuffled_action,block_theta,0.2,0.19533333333333333
random_action,full_state,0.2,0.222
random_action,agent_only,0.2,0.22133333333333333
random_action,block_only,0.2,0.20866666666666667
random_action,block_xy,0.2,0.20866666666666667
random_action,block_theta,0.2,0.198
pred_shuffled,full_state,0.2,0.19666666666666666
pred_shuffled,agent_only,0.2,0.19666666666666666
pred_shuffled,block_only,0.2,0.19866666666666666
pred_shuffled,block_xy,0.2,0.19866666666666666
pred_shuffled,block_theta,0.2,0.20133333333333334
