system,dims,chance,acc
clean_action,full_state,0.2,0.988
clean_action,agent_only,0.2,1.0
clean_action,block_only,0.2,0.5573333333333333
clean_action,block_xy,0.2,0.5546666666666666
clean_action,block_theta,0.2,0.30133333333333334
zero_action,full_state,0.2,0.2
zero_action,agent_only,0.2,0.2
zero_action,block_only,0.2,0.2
zero_action,block_xy,0.2,0.2
zero_action,block_theta,0.2,0.2
neg_action,full_state,0.2,0.14733333333333334
neg_action,agent_only,0.2,0.14466666666666667
neg_action,block_only,0.2,0.18533333333333332
neg_action,block_xy,0.2,0.18533333333333332
neg_action,block_theta,0.2,0.196
shuffled_action,full_state,0.2,0.20266666666666666
shuffled_action,agent_only,0.2,0.19933333333333333
shuffled_action,block_only,0.2,0.19666666666666666
shuffled_action,block_xy,0.2,0.19666666666666666
shuffled_action,block_theta,0.2,0.20466666666666666
random_action,full_state,0.2,0.202
random_action,agent_only,0.2,0.20733333333333334
random_action,block_only,0.2,0.20266666666666666
random_action,block_xy,0.2,0.20333333333333334
random_action,block_theta,0.2,0.208
pred_shuffled,full_state,0.2,0.198
pred_shuffled,agent_only,0.2,0.19933333333333333
pred_shuffled,block_only,0.2,0.2
pred_shuffled,block_xy,0.2,0.19866666666666666
pred_shuffled,block_theta,0.2,0.16733333333333333
