variant_label,useful_compute,anti_rescue,none_correct,mean_oracle_headroom,stable_router_count,mean_router_delta,max_router_delta,recommendation
"3-block, H=36",0.07090464547677261,0.06682966585167074,0.05297473512632437,0.06953723512632429,1.0,0.0072271203477315,0.0168321108394458,mostly fixed-capacity regime; limited routing value
"3-block, H=48",0.09618573797678276,0.05140961857379768,0.0505804311774461,0.07973313640132679,4.0,0.0283590422885571,0.0403365257048092,deploy margin-gated routing; useful signal is routable
"3-block, H=72",0.12590799031476999,0.08878127522195318,0.0645682001614205,0.12014527845036324,2.0,0.0176153080441215,0.0272991121872477,high oracle value; current routing only partially recovers it
"2-block, H=72",0.02564102564102564,0.008814102564102564,0.017628205128205128,0.024653675881410292,0.0,,,mostly fixed-capacity regime; limited routing value
"2-block, V=1.8",0.00676818950930626,0.00676818950930626,0.0,0.006616825296108214,0.0,,,mostly fixed-capacity regime; limited routing value
